,격자고유번호,NUMPOINTS,x,y,visited,index
0,다사667490,3,667,490,False,57818
1,다사637539,2,637,539,False,11930
2,다사619522,1,619,522,False,46549
3,다사623582,2,623,582,True,446
4,다사458457,1,458,457,True,58761
5,다사419485,1,419,485,False,43062
6,다사612625,2,612,625,False,54396
7,다사602615,2,602,615,True,35138
8,다사576452,2,576,452,False,40037
9,다사494446,2,494,446,False,21445
10,다사624585,2,624,585,False,15882
11,다사674507,2,674,507,False,57859
12,다사576547,1,576,547,False,51653
13,다사570614,2,570,614,False,47378
14,다사468427,1,468,427,False,43322
15,다사618434,2,618,434,False,15937
16,다사610453,2,610,453,False,35033
17,다사583452,1,583,452,False,36139
18,다사653557,2,653,557,False,4143
19,다사541436,2,541,436,False,28016
20,다사638552,1,638,552,False,58068
21,다사423480,1,423,480,False,46909
22,다사669489,1,669,489,False,34543
23,다사423520,1,423,520,False,46912
24,다사604404,1,604,404,True,12312
25,다사584466,1,584,466,True,24793
26,다사515420,1,515,420,True,17462
27,다사555541,1,555,541,False,13086
28,다사495571,1,495,571,False,44458
29,다사600424,1,600,424,False,27527
30,다사598616,1,598,616,False,50672
31,다사492428,1,492,428,False,32859
32,다사515483,1,515,483,False,17453
33,다사604631,1,604,631,False,12305
34,다사542514,1,542,514,False,31888
35,다사582446,1,582,446,False,24771
36,다사431487,1,431,487,False,23916
37,다사606607,1,606,607,False,42885
38,다사487515,1,487,515,False,56123
39,다사487499,1,487,499,True,56124
40,다사526419,1,526,419,False,55290
41,다사466421,1,466,421,False,16503
42,다사531532,1,531,532,False,51385
43,다사599471,1,599,471,False,27508
44,다사560476,1,560,476,True,13127
45,다사415480,1,415,480,True,23823
46,다사482577,1,482,577,False,56066
47,다사476512,1,476,512,False,36522
48,다사560493,1,560,493,True,55355
49,다사649555,1,649,555,True,58015
50,다사618617,1,618,617,False,54336
51,다사476436,1,476,436,False,36520
52,다사592606,1,592,606,False,47936
53,다사676479,1,676,479,False,34591
54,다사516423,1,516,423,False,1919
55,다사585442,1,585,442,False,5661
56,다사561538,1,561,538,False,13132
57,다사651450,1,651,450,True,58024
58,다사592437,1,592,437,False,47930
59,다사482467,1,482,467,False,32908
60,다사670420,1,670,420,False,34549
61,다사515484,1,515,484,False,9702
62,다사418485,1,418,485,False,23852
63,다사591440,1,591,440,False,47920
64,다사475513,1,475,513,False,39463
65,다사674463,1,674,463,False,34572
66,다사544518,1,544,518,False,31829
67,다사606453,1,606,453,False,12285
68,다사577549,1,577,549,False,20929
69,다사418479,1,418,479,False,46884
70,다사605638,1,605,638,True,12291
71,다사480540,1,480,540,False,32892
72,다사475549,1,475,549,False,58911
73,다사398509,1,398,509,False,52097
74,다사576546,1,576,546,False,20917
75,다사601513,1,601,513,False,12344
76,다사658462,1,658,462,False,42272
