,격자고유구역,NUMPOINTS,x,y,visited,index
0,다사517503,2,517,503,False,28739
1,다사529518,1,529,518,False,5302
2,다사621604,1,621,604,False,38755
3,다사557526,1,557,526,False,20735
4,다사543440,1,543,440,False,8916
5,다사670477,1,670,477,False,11723
6,다사438514,1,438,514,False,14004
7,다사425504,1,425,504,False,31476
8,다사514418,1,514,418,False,17468
9,다사632493,1,632,493,False,42594
10,다사457441,1,457,441,False,43255
11,다사590514,1,590,514,False,5730
12,다사544526,1,544,526,False,43464
13,다사489560,1,489,560,False,2342
14,다사605616,1,605,616,False,58436
15,다사542426,1,542,426,False,12845
16,다사594561,1,594,561,False,9590
17,다사587559,1,587,559,False,1763
18,다사593589,1,593,589,False,55688
19,다사439465,1,439,465,False,39219
20,다사534507,1,534,507,False,24404
21,다사670448,1,670,448,False,3952
22,다사495589,1,495,589,False,11097
23,다사466399,1,466,399,False,58827
24,다사598540,1,598,540,False,31343
25,다사470475,1,470,475,False,54913
26,다사626438,1,626,438,False,23482
27,다사529492,1,529,492,False,51395
28,다사507461,1,507,461,False,44279
29,다사549517,1,549,517,False,51185
30,다사651577,1,651,577,False,14216
31,다사562441,1,562,441,False,24555
32,다사572546,1,572,546,False,32303
33,다사617456,1,617,456,False,34945
34,다사582598,1,582,598,False,36127
35,다사634570,0,634,570,False,41076
36,다사454500,0,454,500,False,41106
37,다사611416,0,611,416,False,41077
38,다사382528,0,382,528,False,41105
39,다사653481,0,653,481,False,41104
40,다사627494,0,627,494,False,41078
41,다사439519,0,439,519,False,41075
42,다사599601,0,599,601,False,41083
43,다사458419,0,458,419,False,41074
44,다사612406,0,612,406,False,41107
45,다사443523,0,443,523,False,41103
46,다사703529,0,703,529,False,41109
47,다사602385,0,602,385,False,41110
48,다사647478,0,647,478,False,41073
49,다사645525,0,645,525,False,41111
50,다사641591,0,641,591,False,41112
51,다사559468,0,559,468,False,41113
52,다사489487,0,489,487,False,41114
53,다사515472,0,515,472,False,41108
54,다사624538,0,624,538,False,41101
55,다사636471,0,636,471,False,41102
56,다사573663,0,573,663,False,41090
57,다사693433,0,693,433,False,41082
58,다사532449,0,532,449,False,41085
59,다사670515,0,670,515,False,41081
60,다사597659,0,597,659,False,41086
61,다사551402,0,551,402,False,41087
62,다사568410,0,568,410,False,41088
63,다사557593,0,557,593,False,41080
64,다사555629,0,555,629,False,41079
65,다사578664,0,578,664,False,41089
66,다사661414,0,661,414,False,41115
67,다사490395,0,490,395,False,41084
68,다사509478,0,509,478,False,41092
69,다사450474,0,450,474,False,41093
70,다사547545,0,547,545,False,41094
71,다사627470,0,627,470,False,41095
72,다사459403,0,459,403,False,41096
73,다사520543,0,520,543,False,41097
74,다사567473,0,567,473,False,41098
75,다사560595,0,560,595,False,41099
76,다사551609,0,551,609,False,41100
77,다사638467,0,638,467,False,41091
78,다사553617,0,553,617,False,41123
79,다사639565,0,639,565,False,41116
80,다사665499,0,665,499,False,41160
81,다사390505,0,390,505,False,41148
82,다사533398,0,533,398,False,41149
83,다사545504,0,545,504,False,41150
84,다사634653,0,634,653,False,41151
85,다사690474,0,690,474,False,41152
86,다사457479,0,457,479,False,41153
87,다사525533,0,525,533,False,41154
88,다사493393,0,493,393,False,41155
89,다사581487,0,581,487,False,41156
90,다사548616,0,548,616,False,41157
91,다사516586,0,516,586,False,41158
92,다사454530,0,454,530,False,41159
93,다사409537,0,409,537,False,41161
94,다사541563,0,541,563,False,41146
95,다사414458,0,414,458,False,41162
96,다사641627,0,641,627,False,41163
97,다사632624,0,632,624,False,41164
98,다사539450,0,539,450,False,41165
99,다사547599,0,547,599,False,41166
100,다사501473,0,501,473,False,41167
101,다사458506,0,458,506,False,41168
102,다사585549,0,585,549,False,41169
103,다사522408,0,522,408,False,41170
104,다사540452,0,540,452,False,41171
105,다사525389,0,525,389,False,41172
106,다사573633,0,573,633,False,41173
107,다사378493,0,378,493,False,41147
108,다사616370,0,616,370,False,41145
109,다사502520,0,502,520,False,41117
110,다사600505,0,600,505,False,41130
111,다사504383,0,504,383,False,41118
112,다사582492,0,582,492,False,41119
113,다사608508,0,608,508,False,41120
114,다사612377,0,612,377,False,41121
115,다사599591,0,599,591,False,41122
116,다사625472,0,625,472,False,41071
117,다사598374,0,598,374,False,41124
118,다사713496,0,713,496,False,41125
119,다사630474,0,630,474,False,41126
120,다사532410,0,532,410,False,41127
121,다사644594,0,644,594,False,41128
122,다사550585,0,550,585,False,41129
123,다사602657,0,602,657,False,41131
124,다사474494,0,474,494,False,41144
125,다사635421,0,635,421,False,41132
126,다사533551,0,533,551,False,41133
127,다사523383,0,523,383,False,41134
128,다사450509,0,450,509,False,41135
129,다사502475,0,502,475,False,41136
130,다사651584,0,651,584,False,41137
131,다사590651,0,590,651,False,41138
132,다사452508,0,452,508,False,41139
133,다사452421,0,452,421,False,41140
134,다사394548,0,394,548,False,41141
135,다사567659,0,567,659,False,41142
136,다사514398,0,514,398,False,41143
137,다사525408,0,525,408,False,41072
138,다사422432,0,422,432,False,41063
139,다사550577,0,550,577,False,41070
140,다사380556,0,380,556,False,40995
141,다사621571,0,621,571,False,40983
142,다사636432,0,636,432,False,40984
143,다사649594,0,649,594,False,40985
144,다사561414,0,561,414,False,40986
145,다사609651,0,609,651,False,40987
146,다사519577,0,519,577,False,40988
147,다사660551,0,660,551,False,40989
148,다사654595,0,654,595,False,40990
149,다사520476,0,520,476,False,40991
150,다사665429,0,665,429,False,40992
151,다사637597,0,637,597,False,40993
152,다사548542,0,548,542,False,40994
153,다사370499,0,370,499,False,40996
154,다사476498,0,476,498,False,40981
155,다사569479,0,569,479,False,40997
156,다사672413,0,672,413,False,40998
157,다사589644,0,589,644,False,40999
158,다사396445,0,396,445,False,41000
159,다사623474,0,623,474,False,41001
160,다사502484,0,502,484,False,41002
161,다사496580,0,496,580,False,41003
162,다사558649,0,558,649,False,41004
163,다사467383,0,467,383,False,41005
164,다사577419,0,577,419,False,41006
165,다사575401,0,575,401,False,41007
166,다사684451,0,684,451,False,41008
167,다사558431,0,558,431,False,40982
168,다사628599,0,628,599,False,40980
169,다사441517,0,441,517,False,41010
170,다사612414,0,612,414,False,40965
171,다사534405,0,534,405,False,40953
172,다사642521,0,642,521,False,40954
173,다사554502,0,554,502,False,40955
174,다사577635,0,577,635,False,40956
175,다사431528,0,431,528,False,40957
176,다사531563,0,531,563,False,40958
177,다사418504,0,418,504,False,40959
178,다사620403,0,620,403,False,40960
179,다사631442,0,631,442,False,40961
180,다사572415,0,572,415,False,40962
181,다사578492,0,578,492,False,40963
182,다사509592,0,509,592,False,40964
183,다사476610,0,476,610,False,40966
184,다사509476,0,509,476,False,40979
185,다사655565,0,655,565,False,40967
186,다사619643,0,619,643,False,40968
187,다사556624,0,556,624,False,40969
188,다사524589,0,524,589,False,40970
189,다사381506,0,381,506,False,40971
190,다사668517,0,668,517,False,40972
191,다사453505,0,453,505,False,40973
192,다사557623,0,557,623,False,40974
193,다사461500,0,461,500,False,40975
194,다사481494,0,481,494,False,40976
195,다사557560,0,557,560,False,40977
196,다사711524,0,711,524,False,40978
197,다사599600,0,599,600,False,41009
198,다사601376,0,601,376,False,41011
199,다사534461,0,534,461,False,41069
200,다사635445,0,635,445,False,41055
201,다사565471,0,565,471,False,41043
202,다사506534,0,506,534,False,41044
203,다사707524,0,707,524,False,41045
204,다사619456,1,619,456,False,41046
205,다사421429,0,421,429,False,41047
206,다사627432,0,627,432,False,41048
207,다사503375,0,503,375,False,41049
208,다사560471,0,560,471,False,41050
209,다사645532,0,645,532,False,41051
210,다사587426,0,587,426,False,41052
211,다사552617,0,552,617,False,41053
212,다사505375,0,505,375,False,41054
213,다사516567,0,516,567,False,41056
214,다사646528,0,646,528,False,41041
215,다사486386,0,486,386,False,41057
216,다사650571,0,650,571,False,41058
217,다사478484,0,478,484,False,41059
218,다사509530,0,509,530,False,41060
219,다사550586,0,550,586,False,41061
220,다사511384,0,511,384,False,41062
221,다사592393,0,592,393,False,41175
222,다사626446,0,626,446,False,41064
223,다사561631,0,561,631,False,41065
224,다사501392,0,501,392,False,41066
225,다사651420,0,651,420,False,41067
226,다사656472,0,656,472,False,41068
227,다사452465,0,452,465,False,41042
228,다사546472,0,546,472,False,41040
229,다사412448,0,412,448,False,41012
230,다사682464,0,682,464,False,41025
231,다사570647,0,570,647,False,41013
232,다사682521,0,682,521,False,41014
233,다사502383,0,502,383,False,41015
234,다사392551,0,392,551,False,41016
235,다사494485,0,494,485,False,41017
236,다사646426,0,646,426,False,41018
237,다사478379,0,478,379,False,41019
238,다사511391,0,511,391,False,41020
239,다사620393,0,620,393,False,41021
240,다사666408,0,666,408,False,41022
241,다사538399,0,538,399,False,41023
242,다사550572,0,550,572,False,41024
243,다사583486,0,583,486,False,41026
244,다사543614,0,543,614,False,41039
245,다사559465,0,559,465,False,41027
246,다사383511,0,383,511,False,41028
247,다사640581,0,640,581,False,41029
248,다사530445,0,530,445,False,41030
249,다사593382,0,593,382,False,41031
250,다사481380,0,481,380,False,41032
251,다사595649,0,595,649,False,41033
252,다사551595,0,551,595,False,41034
253,다사641592,0,641,592,False,41035
254,다사512381,0,512,381,False,41036
255,다사398426,0,398,426,True,41037
256,다사600587,0,600,587,False,41038
257,다사543573,0,543,573,False,41174
258,다사383536,0,383,536,False,0
259,다사602553,0,602,553,False,41176
