,격자고유구역,NUMPOINTS,x,y,visited,index
0,다사436496,2,436,496,False,27667
1,다사472507,1,472,507,False,51070
2,다사535486,1,535,486,False,5253
3,다사583432,1,583,432,False,5644
4,다사571397,1,571,397,False,55459
5,다사533509,1,533,509,False,16862
6,다사467462,1,467,462,False,35470
7,다사550513,1,550,513,True,59017
8,다사412496,1,412,496,False,31785
9,다사675503,1,675,503,False,34585
10,다사499524,1,499,524,False,44408
11,다사640449,1,640,449,False,19582
12,다사525526,1,525,526,False,28672
13,다사627563,1,627,563,False,12043
14,다사711517,1,711,517,False,39790
15,다사557549,1,557,549,False,28269
16,다사681478,1,681,478,False,38396
17,다사403522,1,403,522,False,52083
18,다사481574,1,481,574,True,2243
19,다사461432,1,461,432,False,27797
20,다사482432,1,482,432,False,56063
21,다사441504,1,441,504,False,4797
22,다사585575,1,585,575,True,17265
23,다사592621,1,592,621,False,51335
24,다사692509,1,692,509,False,57949
25,다사404502,1,404,502,False,12783
26,다사539501,1,539,501,False,20511
27,다사569504,1,569,504,False,5485
28,다사583509,1,583,509,False,47829
29,다사499429,1,499,429,False,21396
30,다사618618,1,618,618,False,31147
31,다사613440,1,613,440,False,38856
32,다사486403,1,486,403,False,25300
33,다사629522,1,629,522,False,27187
34,다사583579,1,583,579,False,47823
35,다사575569,1,575,569,False,36068
36,다사614485,1,614,485,False,50497
37,다사573542,1,573,542,False,59450
38,다사464407,1,464,407,True,47117
39,다사500507,1,500,507,False,32737
40,다사704508,1,704,508,False,50712
41,다사589605,1,589,605,False,51785
42,다사572430,1,572,430,False,9346
43,다사531473,1,531,473,False,51381
44,다사607567,1,607,567,False,27431
45,다사621497,1,621,497,False,38762
46,다사547522,1,547,522,False,39532
47,다사566575,1,566,575,False,43812
48,다사517504,1,517,504,False,24974
49,다사584461,1,584,461,False,40125
50,다사567437,1,567,437,False,55407
51,다사458424,1,458,424,False,8746
52,다사476466,1,476,466,False,17618
53,다사500417,1,500,417,True,44339
54,다사627615,1,627,615,False,58193
55,다사460472,1,460,472,False,50967
56,다사584501,1,584,501,False,40132
57,다사552519,1,552,519,False,8973
58,다사533525,1,533,525,False,5272
59,다사689442,1,689,442,False,38435
60,다사522457,1,522,457,False,1871
61,다사595541,1,595,541,False,36263
62,다사614619,1,614,619,False,34974
63,다사415441,1,415,441,False,50723
64,다사574591,1,574,591,False,59460
65,다사542423,1,542,423,False,1208
66,다사615396,1,615,396,False,19816
67,다사548439,1,548,439,False,16680
68,다사587562,1,587,562,False,21047
69,다사553484,1,553,484,False,9188
70,다사652407,1,652,407,False,4131
71,다사520422,1,520,422,False,28712
72,다사575507,1,575,507,False,59474
73,다사635518,1,635,518,False,27111
74,다사493581,1,493,581,False,2188
75,다사437474,1,437,474,True,873
76,다사641543,1,641,543,False,284
77,다사665493,1,665,493,False,30735
78,다사537512,1,537,512,False,1316
79,다사493479,1,493,479,False,13785
80,다사631516,1,631,516,False,19677
81,다사626486,1,626,486,False,15849
82,다사606469,1,606,469,False,38944
83,다사621483,1,621,483,False,27275
84,다사426504,1,426,504,False,20107
85,다사493461,1,493,461,False,21461
86,다사650433,1,650,433,False,58019
87,다사432454,1,432,454,False,46968
88,다사632538,1,632,538,False,19666
89,다사491531,1,491,531,False,48479
90,다사587597,1,587,597,False,24823
91,다사483562,1,483,562,False,10024
92,다사597497,1,597,497,False,5171
93,다사485547,1,485,547,False,56103
94,다사480445,1,480,445,False,44511
95,다사425512,1,425,512,False,20104
96,다사450486,1,450,486,False,27737
97,다사430463,1,430,463,False,50827
98,다사639496,1,639,496,False,58062
99,다사437483,1,437,483,True,46986
100,다사603525,1,603,525,False,38985
101,다사568562,1,568,562,False,13192
102,다사480392,1,480,392,False,52222
103,다사582606,1,582,606,False,9449
104,다사561520,1,561,520,False,59317
105,다사468439,1,468,439,False,39383
106,다사563480,1,563,480,True,32200
107,다사563533,1,563,533,False,39898
108,다사553428,1,553,428,False,47527
109,다사562453,1,562,453,False,59323
110,다사587520,1,587,520,False,47872
111,다사421479,1,421,479,True,4689
112,다사573602,1,573,602,False,16790
113,다사528489,1,528,489,False,47488
114,다사535531,1,535,531,False,24397
115,다사496570,1,496,570,False,52146
116,다사615523,1,615,523,False,12173
117,다사618553,1,618,553,False,4359
118,다사598539,1,598,539,False,39021
119,다사630512,1,630,512,False,42620
120,다사631437,1,631,437,False,4239
121,다사588463,1,588,463,True,9528
122,다사591429,1,591,429,False,40203
123,다사532540,1,532,540,False,28160
124,다사607645,1,607,645,False,35064
125,다사579466,1,579,466,False,1666
126,다사573527,1,573,527,False,13256
127,다사529563,1,529,563,False,24455
128,다사539511,1,539,511,False,55112
129,다사544517,1,544,517,False,12796
130,다사570518,1,570,518,False,20860
131,다사669457,1,669,457,False,34537
132,다사625631,1,625,631,False,27230
133,다사469396,1,469,396,False,35497
134,다사559524,1,559,524,False,39861
135,다사531536,1,531,536,False,28168
136,다사461435,1,461,435,False,31650
137,다사586557,1,586,557,False,47858
138,다사556545,1,556,545,False,59280
139,다사606541,1,606,541,False,35089
140,다사483424,1,483,424,False,52258
141,다사470461,1,470,461,False,31721
142,다사418429,1,418,429,False,20060
143,다사630459,1,630,459,False,23441
144,다사411470,1,411,470,False,58929
145,다사529510,1,529,510,False,47476
146,다사431438,1,431,438,False,20131
147,다사596459,1,596,459,False,20536
148,다사572518,1,572,518,False,13243
149,다사596447,1,596,447,False,20535
150,다사594455,1,594,455,False,47954
151,다사630573,1,630,573,False,31035
152,다사481538,1,481,538,False,6154
153,다사543527,1,543,527,False,20434
154,다사570495,1,570,495,False,24642
155,다사539424,1,539,424,False,28031
156,다사618540,1,618,540,False,12144
157,다사661483,1,661,483,False,50002
158,다사537523,1,537,523,False,12961
159,다사389516,1,389,516,False,57737
160,다사410482,1,410,482,False,8885
161,다사509432,1,509,432,False,51994
162,다사478523,1,478,523,False,32878
163,다사604488,1,604,488,False,19939
164,다사511552,1,511,552,False,1960
165,다사562527,1,562,527,False,17022
166,다사487445,1,487,445,False,36726
167,다사602650,1,602,650,True,4551
168,다사566528,1,566,528,False,47639
169,다사649495,1,649,495,False,38508
170,다사464533,1,464,533,False,999
171,다사611594,1,611,594,False,19862
172,다사600530,1,600,530,False,27503
173,다사671453,1,671,453,False,106
174,다사569601,1,569,601,False,47663
175,다사474432,1,474,432,True,24153
176,다사606578,1,606,578,False,42894
177,다사597645,1,597,645,False,28039
178,다사455449,1,455,449,False,35404
179,다사498567,1,498,567,False,40525
180,다사463423,1,463,423,False,993
181,다사501453,1,501,453,False,55870
182,다사394536,1,394,536,False,11645
183,다사489602,1,489,602,False,32989
184,다사604547,1,604,547,False,54510
185,다사607499,1,607,499,False,16059
186,다사570533,1,570,533,False,28394
187,다사467445,1,467,445,False,1030
188,다사558476,1,558,476,False,5383
189,다사569554,1,569,554,False,24621
190,다사686421,1,686,421,False,46264
191,다사491513,1,491,513,False,60192
192,다사508493,1,508,493,False,28806
193,다사574584,1,574,584,True,40015
194,다사540521,1,540,521,False,47318
195,다사530531,1,530,531,False,35826
196,다사657468,1,657,468,False,3898
197,다사581609,1,581,609,False,35753
198,다사541443,1,541,443,False,31894
199,다사686473,1,686,473,False,30837
200,다사495499,1,495,499,False,36579
201,다사541536,1,541,536,True,28020
202,다사604615,1,604,615,False,655
203,다사538418,1,538,418,False,39607
204,다사643556,1,643,556,False,38463
205,다사408490,1,408,490,False,8892
206,다사622547,1,622,547,False,58249
207,다사475548,1,475,548,False,43405
208,다사696505,1,696,505,False,34754
209,다사589478,1,589,478,False,36211
210,다사536517,1,536,517,False,39680
211,다사559541,1,559,541,False,51487
212,다사630465,1,630,465,False,52411
213,다사435469,1,435,469,False,31530
214,다사619603,1,619,603,False,34913
215,다사624582,1,624,582,False,38725
216,다사509544,1,509,544,False,55834
217,다사670421,1,670,421,False,23112
218,다사555448,1,555,448,False,55318
219,다사624531,1,624,531,False,38722
220,다사603423,1,603,423,False,16115
221,다사471484,1,471,484,False,43359
222,다사668443,1,668,443,False,53878
223,다사521557,1,521,557,False,55744
224,다사472413,1,472,413,False,4969
225,다사524524,1,524,524,False,17398
226,다사481504,1,481,504,False,32907
227,다사508511,1,508,511,False,13599
228,다사643573,1,643,573,False,15635
229,다사595513,1,595,513,False,17385
230,다사562511,1,562,511,False,51512
231,다사670477,1,670,477,False,11723
232,다사672429,1,672,429,False,46193
233,다사601583,1,601,583,False,46818
234,다사502539,1,502,539,False,28862
235,다사604518,1,604,518,False,23737
236,다사582622,1,582,622,False,39647
237,다사548524,1,548,524,False,1179
238,다사499459,1,499,459,False,32790
239,다사615628,1,615,628,False,12171
240,다사493559,1,493,559,False,25196
241,다사497433,1,497,433,False,28954
242,다사594628,1,594,628,False,12955
243,다사591527,1,591,527,False,21095
244,다사611462,1,611,462,False,23645
245,다사629535,1,629,535,False,61644
246,다사682506,1,682,506,False,26929
247,다사622554,1,622,554,False,38747
248,다사545504,0,545,504,False,41150
249,다사646426,0,646,426,False,41018
250,다사635421,0,635,421,True,41132
251,다사525533,0,525,533,False,41154
252,다사600587,0,600,587,True,41038
253,다사392551,0,392,551,False,41016
254,다사512381,0,512,381,False,41036
255,다사398426,0,398,426,False,41037
256,다사457479,0,457,479,False,41153
257,다사602657,0,602,657,False,41131
258,다사600505,0,600,505,True,41130
259,다사690474,0,690,474,False,41152
260,다사641592,0,641,592,False,41035
261,다사502383,0,502,383,False,41015
262,다사494485,0,494,485,False,41017
263,다사634653,0,634,653,True,41151
264,다사551595,0,551,595,False,41034
265,다사452421,0,452,421,False,41140
266,다사595649,0,595,649,False,41033
267,다사533398,0,533,398,False,41149
268,다사682464,0,682,464,False,41025
269,다사452508,0,452,508,False,41139
270,다사567659,0,567,659,False,41142
271,다사590651,0,590,651,False,41138
272,다사583486,0,583,486,False,41026
273,다사559465,0,559,465,False,41027
274,다사514398,0,514,398,False,41143
275,다사543614,0,543,614,False,41039
276,다사550572,0,550,572,False,41024
277,다사502475,0,502,475,False,41136
278,다사383511,0,383,511,False,41028
279,다사538399,0,538,399,False,41023
280,다사666408,0,666,408,False,41022
281,다사640581,0,640,581,False,41029
282,다사474494,0,474,494,False,41144
283,다사620393,0,620,393,False,41021
284,다사511391,0,511,391,True,41020
285,다사530445,0,530,445,False,41030
286,다사478379,0,478,379,True,41019
287,다사616370,0,616,370,False,41145
288,다사593382,0,593,382,False,41031
289,다사541563,0,541,563,False,41146
290,다사481380,0,481,380,False,41032
291,다사378493,0,378,493,False,41147
292,다사394548,0,394,548,False,41141
293,다사450509,0,450,509,False,41135
294,다사523383,0,523,383,True,41134
295,다사390505,0,390,505,False,41148
