,격자고유번호,NUMPOINTS,x,y,visited,index
0,다사447477,1,447,477,True,35367
1,다사650461,1,650,461,False,42479
2,다사584566,1,584,566,False,47836
3,다사474465,1,474,465,False,12729
4,다사625467,6,625,467,False,3608
5,다사508517,6,508,517,True,25029
6,다사619522,1,619,522,True,46549
7,다사585542,1,585,542,True,28559
8,다사644458,1,644,458,True,50153
9,다사570520,1,570,520,False,5495
10,다사511409,5,511,409,False,60491
11,다사599506,5,599,506,False,18994
12,다사627503,1,627,503,True,54249
13,다사591448,1,591,448,False,17336
14,다사582444,1,582,444,True,5633
15,다사590546,2,590,546,True,44075
16,다사586544,2,586,544,False,61483
17,다사545531,1,545,531,False,20439
18,다사610459,5,610,459,True,23667
19,다사473466,1,473,466,True,24142
20,다사514517,1,514,517,True,59802
21,다사521411,5,521,411,False,51903
22,다사489476,1,489,476,False,52329
23,다사624489,1,624,489,True,38721
24,다사584542,1,584,542,True,59567
25,다사637435,1,637,435,False,50270
26,다사404523,1,404,523,True,16638
27,다사665427,1,665,427,False,11001
28,다사578562,1,578,562,False,59507
29,다사606607,4,606,607,False,42885
30,다사606542,4,606,542,False,54479
31,다사384512,4,384,512,True,10523
32,다사591561,1,591,561,False,36229
33,다사501508,1,501,508,False,13650
34,다사467522,4,467,522,False,3425
35,다사648432,1,648,432,False,38504
36,다사608520,1,608,520,False,35052
37,다사609555,1,609,555,False,54443
38,다사586571,1,586,571,True,40153
39,다사573612,4,573,612,True,3109
40,다사482504,1,482,504,False,32917
41,다사541519,1,541,519,False,28018
42,다사669490,1,669,490,True,11720
43,다사545444,1,545,444,False,51150
44,다사597422,1,597,422,False,1233
45,다사418441,1,418,441,True,35230
46,다사581542,1,581,542,True,56402
47,다사577528,1,577,528,True,55528
48,다사511450,1,511,450,True,9733
49,다사554427,1,554,427,False,20705
50,다사474474,1,474,474,False,39443
51,다사506460,1,506,460,False,17527
52,다사569627,4,569,627,False,35731
53,다사476464,1,476,464,True,3723
54,다사454420,1,454,420,True,43241
55,다사621498,1,621,498,True,12108
56,다사596534,1,596,534,True,47354
57,다사620523,1,620,523,True,12120
58,다사626593,4,626,593,False,30011
59,다사617541,1,617,541,False,23565
60,다사414514,1,414,514,False,35204
61,다사433441,1,433,441,True,46974
62,다사634513,1,634,513,True,38616
63,다사484477,1,484,477,False,60091
64,다사622517,1,622,517,True,31110
65,다사462491,1,462,491,True,4899
66,다사535527,1,535,527,True,24396
67,다사472395,1,472,395,False,35525
68,다사488479,1,488,479,True,44620
69,다사632487,1,632,487,False,34798
70,다사542534,1,542,534,True,47305
71,다사519559,3,519,559,False,1884
72,다사594512,5,594,512,True,1829
73,다사577524,2,577,524,True,47758
74,다사486605,3,486,605,False,32961
75,다사652406,3,652,406,True,4132
76,다사649416,1,649,416,True,38511
77,다사676487,1,676,487,False,15559
78,다사565521,1,565,521,True,17048
79,다사621504,1,621,504,False,461
80,다사579414,1,579,414,False,36095
81,다사625482,1,625,482,False,54268
82,다사551519,1,551,519,False,24270
83,다사576452,1,576,452,True,40037
84,다사492519,2,492,519,True,6097
85,다사664432,1,664,432,True,52470
86,다사612541,1,612,541,False,54400
87,다사487410,1,487,410,False,44600
88,다사694506,1,694,506,True,7946
89,다사487595,2,487,595,False,40713
90,다사664441,1,664,441,True,50010
91,다사493581,1,493,581,False,2188
92,다사432508,3,432,508,False,4764
93,다사478466,1,478,466,False,2211
94,다사422482,1,422,482,True,54659
95,다사563517,1,563,517,True,13149
96,다사547503,3,547,503,True,6545
97,다사670456,2,670,456,False,7832
98,다사499441,1,499,441,False,55940
99,다사620521,1,620,521,True,23534
100,다사585564,1,585,564,True,47847
101,다사567529,1,567,529,False,35983
102,다사625464,6,625,464,True,38102
