"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"서울특별시 강북구 도봉로 190 관리번호02-11-04",1,,서울특별시 강북구 미아동 121-20,37.6259014,127.0269987,2000,건축물,02-901-5863,서울특별시 강북구청,2022-09-07
"서울특별시 강북구 도봉로 188 관리번호02-11-01",1,,서울특별시 강북구 미아동 121-21,37.6256384,127.0267982,2000,한전주,02-901-5863,서울특별시 강북구청,2022-09-07
"서울특별시 강북구 도봉로 188 관리번호02-11-02",1,,서울특별시 강북구 미아동 121-21,37.6256384,127.0267982,2000,한전주,02-901-5863,서울특별시 강북구청,2022-09-07
"서울특별시 강북구 도봉로 190 관리번호02-11-03",1,,서울특별시 강북구 미아동 121-24,37.6259014,127.0269987,2000,한전주,02-901-5863,서울특별시 강북구청,2022-09-07
"서울특별시 강북구 솔매로52길6 관리번호02-12-23",1,,서울특별시 강북구 미아동 121-3,37.6263093,127.0272992,2000,,02-901-5863,서울특별시 강북구청,2022-09-07
"서울특별시 강북구 도봉로50길 11-10 관리번호02-12-20",1,,서울특별시 강북구 미아동 121-34,37.6259765,127.0273602,2000,한전주,02-901-5863,서울특별시 강북구청,2022-09-07
"서울특별시 강북구 도봉로50길 11-6 관리번호02-12-19",1,,서울특별시 강북구 미아동 121-36,37.6258148,127.0274303,2000,한전주,02-901-5863,서울특별시 강북구청,2022-09-07
"서울특별시 강북구 도봉로50길 11-14 관리번호02-12-21",1,,서울특별시 강북구 미아동 121-46,37.6261921,127.0272894,2000,건축물,02-901-5863,서울특별시 강북구청,2022-09-07
"서울특별시 강북구 솔매로 134 관리번호02-12-22",1,,서울특별시 강북구 미아동 121-6,37.6263433,127.0270496,2000,한전주,02-901-5863,서울특별시 강북구청,2022-09-07
"서울특별시 강북구 솔매로54길 6-12 관리번호02-12-09",1,,서울특별시 강북구 미아동 122-11,37.6263503,127.0278991,2000,한전주,02-901-5863,서울특별시 강북구청,2022-09-07
"서울특별시 강북구 솔매로52길 15-17 관리번호02-12-15",1,,서울특별시 강북구 미아동 122-22,37.6262820,127.0283532,2000,건축물,02-901-5863,서울특별시 강북구청,2022-09-07
"서울특별시 강북구 솔매로 140-1 관리번호02-12-07",1,,서울특별시 강북구 미아동 122-29,37.6264754,127.0277729,2000,한전주,02-901-5863,서울특별시 강북구청,2022-09-07
"서울특별시 강북구 솔매로 142-3 관리번호02-12-06",1,,서울특별시 강북구 미아동 122-31,37.6265501,127.0280891,2000,건축물,02-901-5863,서울특별시 강북구청,2022-09-07
"서울특별시 강북구 솔매로 144-3 관리번호02-12-05",1,,서울특별시 강북구 미아동 122-36,37.6265694,127.0282475,2000,한전주,02-901-5863,서울특별시 강북구청,2022-09-07
"서울특별시 강북구 도봉로50길 29-4 관리번호02-12-17",1,,서울특별시 강북구 미아동 122-40,37.6260126,127.0284700,2000,건축물,02-901-5863,서울특별시 강북구청,2022-09-07
"서울특별시 강북구 도봉로50길 29 관리번호02-12-18",1,,서울특별시 강북구 미아동 122-46,37.6258490,127.0282908,2000,한전주,02-901-5863,서울특별시 강북구청,2022-09-07
"서울특별시 강북구 솔매로52길 15-13 관리번호02-12-14",1,,서울특별시 강북구 미아동 122-47,37.6261901,127.0281391,2000,건축물,02-901-5863,서울특별시 강북구청,2022-09-07
"서울특별시 강북구 솔매로54길 6 관리번호02-12-04",1,,서울특별시 강북구 미아동 122-5,37.6265168,127.0284181,2000,한전주,02-901-5863,서울특별시 강북구청,2022-09-07
"서울특별시 강북구 솔매로52길 15-29 관리번호02-12-12",1,,서울특별시 강북구 미아동 122-52,37.6259824,127.0280852,2000,건축물,02-901-5863,서울특별시 강북구청,2022-09-07
"서울특별시 강북구 솔매로52길 15-9 관리번호02-12-13",1,,서울특별시 강북구 미아동 122-54,37.6260169,127.0278921,2000,한전주,02-901-5863,서울특별시 강북구청,2022-09-07
"서울특별시 강북구 솔매로52길 11 관리번호02-12-08",1,,서울특별시 강북구 미아동 122-57,37.6260158,127.0277562,2000,건축물,02-901-5863,서울특별시 강북구청,2022-09-07
"서울특별시 강북구 솔매로52길 15 관리번호02-12-11",1,,서울특별시 강북구 미아동 122-59,37.6258810,127.0278033,2000,건축물,02-901-5863,서울특별시 강북구청,2022-09-07
"서울특별시 강북구 솔매로54길 12 관리번호02-12-01",1,,서울특별시 강북구 미아동 122-61,37.6262473,127.0285235,2000,건축물,02-901-5863,서울특별시 강북구청,2022-09-07
"서울특별시 강북구 솔매로54길 6-8 관리번호02-12-10",1,,서울특별시 강북구 미아동 122-9,37.6264327,127.0280567,2000,한전주,02-901-5863,서울특별시 강북구청,2022-09-07
"서울특별시 강북구 솔매로54길 35 관리번호02-13-07",1,,서울특별시 강북구 미아동 123-10,37.6253800,127.0293391,2000,한전주,02-901-5863,서울특별시 강북구청,2022-09-07
"서울특별시 강북구 도봉로46길 43 관리번호02-13-08",1,,서울특별시 강북구 미아동 123-22,37.6252810,127.0293518,2000,건축물,02-901-5863,서울특별시 강북구청,2022-09-07
