"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"광장동001",1,"서울특별시 광진구 아차산로78길 72, 학산코스모스텔",서울특별시 광진구 광장동 111,37.5513412338,127.1104198864,,전용주,02-450-7873,서울특별시 광진구청,2022-07-01
"광장동002",1,서울특별시 광진구 아차산로78길 67,서울특별시 광진구 광장동 104,37.5517328042,127.1106976,,건축물,02-450-7873,서울특별시 광진구청,2022-07-01
"광장동003",1,서울특별시 광진구 아차산로78길 67,서울특별시 광진구 광장동 141-3,37.5517629,127.1106159047,,전용주,02-450-7873,서울특별시 광진구청,2022-07-01
"광장동006",1,서울특별시 광진구 아차산로78길 53,서울특별시 광진구 광장동 107,37.55152617,127.1098198821,,전용주,02-450-7873,서울특별시 광진구청,2022-07-01
"광장동007",1,서울특별시 광진구 아차산로78길 56,서울특별시 광진구 광장동 108,37.5513551601,127.1100758789,,전용주,02-450-7873,서울특별시 광진구청,2022-07-01
"광장동008",1,서울특별시 광진구 아차산로78길 56,서울특별시 광진구 광장동 108,37.5513551601,127.1100758789,,전용주,02-450-7873,서울특별시 광진구청,2022-07-01
"광장동009",1,서울특별시 광진구 아차산로78길 56,서울특별시 광진구 광장동 108,37.55131917,127.1100758789,,전용주,02-450-7873,서울특별시 광진구청,2022-07-01
"광장동010",1,서울특별시 광진구 아차산로78길 44,서울특별시 광진구 광장동 114,37.5507930950,127.1099066609,,전용주,02-450-7873,서울특별시 광진구청,2022-07-01
"광장동011",1,서울특별시 광진구 아차산로78길 43,서울특별시 광진구 광장동 118,37.5510413156,127.1094262935,,전용주,02-450-7873,서울특별시 광진구청,2022-07-01
"광장동012",1,서울특별시 광진구 아차산로78길 44,서울특별시 광진구 광장동 114,37.5507930950,127.1099066609,,전용주,02-450-7873,서울특별시 광진구청,2022-07-01
"광장동013",1,서울특별시 광진구 아차산로78길 44,서울특별시 광진구 광장동 114,37.5507930950,127.1099066609,,전용주,02-450-7873,서울특별시 광진구청,2022-07-01
"광장동014",1,서울특별시 광진구 아차산로78길 33,서울특별시 광진구 광장동 120,37.55077817,127.1092624642,,전용주,02-450-7873,서울특별시 광진구청,2022-07-01
"광장동015",1,서울특별시 광진구 아차산로78길 44,서울특별시 광진구 광장동 114,37.55071317,127.1099066609,,전용주,02-450-7873,서울특별시 광진구청,2022-07-01
"광장동016",1,서울특별시 광진구 아차산로78길 44,서울특별시 광진구 광장동 114,37.5507930950,127.1099066609,,전용주,02-450-7873,서울특별시 광진구청,2022-07-01
"광장동017",1,서울특별시 광진구 아차산로78길 44,서울특별시 광진구 광장동 114,37.5507930950,127.1099066609,,전용주,02-450-7873,서울특별시 광진구청,2022-07-01
"광장동018",1,서울특별시 광진구 아차산로78길 90,서울특별시 광진구 광장동 112,37.5510729137,127.1106154952,,전용주,02-450-7873,서울특별시 광진구청,2022-07-01
"광장동019",1,서울특별시 광진구 아차산로78길 110,서울특별시 광진구 광장동 127,37.5499874404,127.1101776398,,전용주,02-450-7873,서울특별시 광진구청,2022-07-01
"광장동020",1,서울특별시 광진구 아차산로78길 18,서울특별시 광진구 광장동 125,37.5501150529,127.1098540619,,전용주,02-450-7873,서울특별시 광진구청,2022-07-01
"광장동021",1,서울특별시 광진구 아차산로78길 7,서울특별시 광진구 광장동 121,37.55032917,127.1092971035,,전용주,02-450-7873,서울특별시 광진구청,2022-07-01
"광장동022",1,서울특별시 광진구 아차산로78가길 3,서울특별시 광진구 광장동 124,37.5497371771,127.1096046,,전용주,02-450-7873,서울특별시 광진구청,2022-07-01
"광장동023",1,서울특별시 광진구 아차산로78가길 3,서울특별시 광진구 광장동 124,37.5497371771,127.1096571666,,전용주,02-450-7873,서울특별시 광진구청,2022-07-01
"광장동024",1,서울특별시 광진구 아차산로78가길 3,서울특별시 광진구 광장동 124,37.5497371771,127.1096571666,,전용주,02-450-7873,서울특별시 광진구청,2022-07-01
"광장동025",1,서울특별시 광진구 아차산로78가길 17,서울특별시 광진구 광장동 131-1,37.5494264387,127.1099307951,,전용주,02-450-7873,서울특별시 광진구청,2022-07-01
"광장동026",1,서울특별시 광진구 아차산로78가길 3,서울특별시 광진구 광장동 124,37.5497371771,127.1096571666,,건축물,02-450-7873,서울특별시 광진구청,2022-07-01
"광장동027",1,서울특별시 광진구 아차산로78길 10,서울특별시 광진구 광장동 148-4,37.5498262729,127.1086966411,,한전주,02-450-7873,서울특별시 광진구청,2022-07-01
"광장동028",1,서울특별시 광진구 아차산로78가길 17,서울특별시 광진구 광장동 131-1,37.5494264387,127.1099307951,,한전주,02-450-7873,서울특별시 광진구청,2022-07-01
"광장동029",1,서울특별시 광진구 아차산로 636,서울특별시 광진구 광장동 148-6,37.54915817,127.1084465051,,한전주,02-450-7873,서울특별시 광진구청,2022-07-01
"광장동030",1,서울특별시 광진구 아차산로 636,서울특별시 광진구 광장동 148-6,37.54913117,127.1084465051,,한전주,02-450-7873,서울특별시 광진구청,2022-07-01
"광장동031",1,서울특별시 광진구 아차산로78가길 17,서울특별시 광진구 광장동 131-1,37.5494264387,127.1099307951,,전용주,02-450-7873,서울특별시 광진구청,2022-07-01
"광장동032",1,서울특별시 광진구 아차산로78가길 31,서울특별시 광진구 광장동 184-1,37.5484524239,127.1089974696,,한전주,02-450-7873,서울특별시 광진구청,2022-07-01
"광장동033",1,서울특별시 광진구 아차산로78가길 17,서울특별시 광진구 광장동 131-1,37.5494264387,127.1099307951,,건축물,02-450-7873,서울특별시 광진구청,2022-07-01
"광장동034",1,서울특별시 광진구 아차산로78가길 30,서울특별시 광진구 광장동 148-21,37.5487822519,127.1088318262,,한전주,02-450-7873,서울특별시 광진구청,2022-07-01
