"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"월계1동 화랑로43길 2-12",1,서울특별시 노원구 화랑로43길 2-12,서울특별시 노원구 월계동 493-16,37.61470406,127.0632061,,건축물,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 화랑로43길2-14",1,서울특별시 노원구 화랑로43길 2-14,서울특별시 노원구 월계동 493-15,37.61463352,127.0631976,,전용주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 화랑로43길2-32",1,서울특별시 노원구 화랑로43길 2-32,서울특별시 노원구 월계동 493-8,37.61464204,127.0629346,,,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 화랑로43길6",1,서울특별시 노원구 화랑로43길 6,서울특별시 노원구 월계동 479-38,37.61441872,127.0628577,,전용주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 화랑로43길2-26",1,서울특별시 노원구 화랑로43길 2-26,서울특별시 노원구 월계동 493-10,37.61480934,127.0629474,,전용주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 화랑로43길2-34",1,서울특별시 노원구 화랑로43길 2-34,서울특별시 노원구 월계동 493-19,37.6146421,127.0628171,,전용주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 화랑로43길2-15",1,서울특별시 노원구 화랑로43길 2-15,서울특별시 노원구 월계동 493-4,37.61479291,127.0626708,,전용주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 화랑로43길 4-10",1,서울특별시 노원구 화랑로43길 4-10,서울특별시 노원구 월계동 494-7,37.61449601,127.062555,,한전주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 화랑로43길4-5",1,서울특별시 노원구 화랑로43길 4-5,서울특별시 노원구 월계동 479-38,37.61440007,127.0626945,,건축물,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 화랑로43가길7",1,서울특별시 노원구 화랑로43가길 7,서울특별시 노원구 월계동 494-2,37.61463065,127.0624861,,건축물,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 화랑로43가길 13-1",1,서울특별시 노원구 화랑로43가길 13-1,서울특별시 노원구 월계동 51-39,37.61488895,127.0625207,,건축물,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 화랑로43가길17",1,서울특별시 노원구 화랑로43가길 17,서울특별시 노원구 월계동 51-11,37.61505256,127.0627143,,한전주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 51-37",1,,서울특별시 노원구 월계1동 51-37,,,,한전주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 화랑로43가길 24",1,서울특별시 노원구 화랑로43가길 24,서울특별시 노원구 월계동 51-16,37.61489345,127.0630421,,한전주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 화랑로43가길 30",1,서울특별시 노원구 화랑로43가길 30,서울특별시 노원구 월계동 51-13,37.61488345,127.0633621,,한전주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 화랑로43가길 29",1,서울특별시 노원구 화랑로43가길 29,서울특별시 노원구 월계동 51-5,37.6150261,127.0633321,,전용주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 화랑로43가길 26",1,서울특별시 노원구 화랑로43가길 26,서울특별시 노원구 월계동 51-15,37.61487843,127.0631519,,한전주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 화랑로43나길 12",1,서울특별시 노원구 화랑로43나길 12,서울특별시 노원구 월계동 50-15,37.6150325,127.0624725,,한전주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 51-2",1,,서울특별시 노원구 월계1동 51-2,,,,건축물,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 495-11",1,,서울특별시 노원구 월계1동 495-11,,,,한전주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 495-8",1,,서울특별시 노원구 월계1동 495-8,,,,전용주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 495-14",1,,서울특별시 노원구 월계1동 495-14,,,,건축물,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 495-6",1,,서울특별시 노원구 월계1동 495-6,,,,건축물,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 495-4",1,,서울특별시 노원구 월계1동 495-4,,,,건축물,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 495-3",1,,서울특별시 노원구 월계1동 495-3,,,,한전주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 479-47",1,,서울특별시 노원구 월계1동 479-47,,,,전용주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 479-27",1,,서울특별시 노원구 월계1동 479-27,,,,한전주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 479-27",1,,서울특별시 노원구 월계1동 479-27,,,,한전주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 495-13",1,,서울특별시 노원구 월계1동 495-13,,,,한전주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 479-4",1,,서울특별시 노원구 월계1동 479-4,,,,한전주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 495-21",1,,서울특별시 노원구 월계1동 495-21,,,,한전주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 화랑로43길34",1,서울특별시 노원구 화랑로43길 34,서울특별시 노원구 월계동 492-1,37.61505901,127.0615887,,전용주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 492 우이천",1,,서울특별시 노원구 월계1동 492 우이천,,,,전용주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 월계1동492 우이천",1,,서울특별시 노원구 월계1동 월계1동492 우이천,,,,전용주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 화랑로 337",1,서울특별시 노원구 화랑로 337,서울특별시 노원구 월계동 46-1,37.61523935,127.0651692,,한전주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 화랑로 337",1,서울특별시 노원구 화랑로 337,서울특별시 노원구 월계동 46-1,37.61523935,127.0651692,,전용주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 화랑로 337",1,서울특별시 노원구 화랑로 337,서울특별시 노원구 월계동 46-1,37.61523935,127.0651692,,전용주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 석계로8가길 27 뒤",1,서울특별시 노원구 석계로8가길 27 뒤,서울특별시 노원구 월계1동 47-14 뒤,,,,전용주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 화랑로 337-17",1,서울특별시 노원구 화랑로 337-17,서울특별시 노원구 월계동 62-9,37.61567442,127.0650424,,한전주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 402-17",1,,서울특별시 노원구 월계1동 402-17,,,,한전주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 석계로8가길 19",1,서울특별시 노원구 석계로8가길 19,서울특별시 노원구 월계동 61-5,37.61587232,127.0647949,,한전주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 주차장",1,,서울특별시 노원구 월계1동 23894,,,,한전주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 주차장",1,,서울특별시 노원구 월계1동 23743,,,,한전주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 주차장",1,,서울특별시 노원구 월계1동 23743,,,,한전주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 68-65",1,,서울특별시 노원구 월계1동 68-65,,,,한전주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동",1,,서울특별시 노원구 월계1동 23408,,,,건축물,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 23529",1,,서울특별시 노원구 월계1동 23529,,,,한전주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 22372",1,,서울특별시 노원구 월계1동 22372,,,,한전주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 447-24",1,,서울특별시 노원구 월계1동 447-24,,,,건축물,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 17199",1,,서울특별시 노원구 월계1동 17199,,,,한전주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 47-17",1,,서울특별시 노원구 월계1동 47-17,,,,한전주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 64-18",1,,서울특별시 노원구 월계1동 64-18,,,,건축물,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 23224",1,,서울특별시 노원구 월계1동 23224,,,,건축물,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 393-8",1,,서울특별시 노원구 월계1동 393-8,,,,건축물,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 23255",1,,서울특별시 노원구 월계1동 23255,,,,한전주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
"월계1동 석계로8",1,서울특별시 노원구 석계로 8,서울특별시 노원구 월계동 47-24,37.61557107,127.0647307,,한전주,02-2116-4157,서울특별시 노원구 토목과,2022-08-26
