"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"풍림아파트",31,서울특별시 성동구 송학길 17,서울특별시 성동구 하왕십리동 161,37.55876857,127.0250351,,,02-2286-5787,서울특별시 성동구청,2022-08-25
"푸르지오아파트",8,서울특별시 성동구 푸르지오아파트,서울특별시 성동구 금호동4가 34,37.5446984,127.0223406,,,02-2286-5787,서울특별시 성동구청,2022-08-25
"특화거리",24,서울특별시 성동구 용답19길 1,,37.5626469,127.0513902,,,02-2286-5787,서울특별시 성동구청,2022-08-25
"청계벽산아파트",15,서울특별시 성동구 무학로 50,서울특별시 성동구 하왕십리동 258,37.5691083,127.0326723,,전용주,02-2286-5787,서울특별시 성동구청,2022-08-25
"전농천 포충기",7,서울특별시 성동구 전농천,서울특별시 성동구 용답동 223-12,37.5621572,127.056016,,,02-2286-5787,서울특별시 성동구청,2022-08-25
"전농천",10,,서울특별시 성동구 용답동 223-12,,,,,02-2286-5787,서울특별시 성동구청,2022-08-25
"자동차공업사 앞",1,서울특별시 성동구 성수이로20길 50,,37.5418685,127.0619444,,,02-2286-5787,서울특별시 성동구청,2022-08-25
"응봉초교앞",1,서울특별시 성동구 독서당로62길 28,서울특별시 성동구 응봉동 25-1,37.5502519,127.0338274,,,02-2286-5787,서울특별시 성동구청,2022-08-25
"응봉역 주차장입구",1,서울특별시 성동구 독서당로62길 28,서울특별시 성동구 응봉동 25-1,37.5502519,127.0338274,,,02-2286-5787,서울특별시 성동구청,2022-08-25
"응봉역 공영주차장 앞",9,서울특별시 성동구 독서당로62길 28,서울특별시 성동구 응봉동 25-1,37.5502519,127.0338274,,,02-2286-5787,서울특별시 성동구청,2022-08-25
"응봉 현대아파트",3,서울특별시 성동구 독서당로 377,서울특별시 성동구 응봉동 98,37.550541,127.0311523,,,02-2286-5787,서울특별시 성동구청,2022-08-25
"응봉 자전거대여소옆",1,서울특별시 성동구 응봉로 107,,,,,,02-2286-5787,서울특별시 성동구청,2022-08-25
"응봉 신동아아파트",4,서울특별시 성동구 독서당길 309,서울특별시 성동구 응봉동 275,37.5501583,127.0294997,,,02-2286-5787,서울특별시 성동구청,2022-08-25
"응봉 새말공원앞",1,서울특별시 성동구 해든길 123-1,,,,,,02-2286-5787,서울특별시 성동구청,2022-08-25
"응봉 대림아파트",6,서울특별시 성동구 독서당로62길 10,,37.5496290,127.0317313,,,02-2286-5787,서울특별시 성동구청,2022-08-25
"용답초등학교",7,서울특별시 성동구 용답25길 1,서울특별시 성동구 용답동 29,37.5607767,127.0535444,,,02-2286-5787,서울특별시 성동구청,2022-08-25
