"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"장위1동-1",1,서울특별시 성북구 장위로10길25,서울특별시 성북구 장위1동 231-315,37.612703900,127.0398844,2000,한전주,02-2241-3593,서울특별시 성북구청,2022-06-01
"장위1동-2",1,서울특별시 성북구 장위로10길35,서울특별시 성북구 장위1동 231-318,37.612259630,127.039779304,2000,한전주,02-2241-3593,서울특별시 성북구청,2022-06-01
"장위1동-3",1,서울특별시 성북구 장위로10길41,서울특별시 성북구 장위1동 231-320,37.612030946,127.039548700,2000,한전주,02-2241-3593,서울특별시 성북구청,2022-06-01
"장위1동-4",1,서울특별시 성북구 장위로10길41,서울특별시 성북구 장위1동 231-320,37.612030946,127.039548700,2000,한전주,02-2241-3593,서울특별시 성북구청,2022-06-01
"장위1동-5",1,서울특별시 성북구 장위로10길41,서울특별시 성북구 장위1동 231-320,37.612030946,127.039548700,2000,건축물,02-2241-3593,서울특별시 성북구청,2022-06-01
"장위1동-6",1,서울특별시 성북구 장위로10길41,서울특별시 성북구 장위1동 231-320,37.612030946,127.039548700,2000,건축물,02-2241-3593,서울특별시 성북구청,2022-06-01
"장위1동-7",1,서울특별시 성북구 장위로10길41,서울특별시 성북구 장위1동 231-320,37.612030946,127.039548700,2000,건축물,02-2241-3593,서울특별시 성북구청,2022-06-01
"장위1동-8",1,서울특별시 성북구 장위로10길41,서울특별시 성북구 장위1동 231-320,37.612030946,127.039548700,2000,한전주,02-2241-3593,서울특별시 성북구청,2022-06-01
"장위1동-9",1,서울특별시 성북구 장위로10길41,서울특별시 성북구 장위1동 231-320,37.612030946,127.039548700,2000,건축물,02-2241-3593,서울특별시 성북구청,2022-06-01
"장위1동-10",1,서울특별시 성북구 장위로10길41,서울특별시 성북구 장위1동 231-320,37.612030946,127.039548700,2000,건축물,02-2241-3593,서울특별시 성북구청,2022-06-01
"장위1동-11",1,서울특별시 성북구 장위로10길41,서울특별시 성북구 장위1동 231-320,37.612030946,127.039548700,2000,건축물,02-2241-3593,서울특별시 성북구청,2022-06-01
"장위1동-12",1,서울특별시 성북구 장위로21길17-7,서울특별시 성북구 장위1동 229-45,37.614443200,127.043573885,2000,한전주,02-2241-3593,서울특별시 성북구청,2022-06-01
"장위1동-13",1,서울특별시 성북구 장위로10길52,서울특별시 성북구 장위1동 231-557,37.611847200,127.039024909,2000,건축물,02-2241-3593,서울특별시 성북구청,2022-06-01
"장위1동-14",1,서울특별시 성북구 장위로10길44-2,서울특별시 성북구 장위1동 270-231,37.612117600,127.039248743,2000,전용주,02-2241-3593,서울특별시 성북구청,2022-06-01
"장위1동-15",1,서울특별시 성북구 장위로10길44-8,서울특별시 성북구 장위1동 231-555,37.611913800,127.038899797,2000,전용주,02-2241-3593,서울특별시 성북구청,2022-06-01
"장위1동-16",1,서울특별시 성북구 장위로4길29,서울특별시 성북구 장위1동 231-581,37.611915400,127.038759921,2000,전용주,02-2241-3593,서울특별시 성북구청,2022-06-01
"장위1동-17",1,서울특별시 성북구 장위로4길23,서울특별시 성북구 장위1동 231-501,37.612055800,127.038527246,2000,전용주,02-2241-3593,서울특별시 성북구청,2022-06-01
"장위1동-18",1,서울특별시 성북구 장위로10길24-22,서울특별시 성북구 장위1동 231-256,37.612168200,127.038715654,2000,한전주,02-2241-3593,서울특별시 성북구청,2022-06-01
"장위1동-19",1,서울특별시 성북구 장위로10길24-14,서울특별시 성북구 장위1동 231-496,37.612361100,127.039059724,2000,한전주,02-2241-3593,서울특별시 성북구청,2022-06-01
"장위1동-20",1,서울특별시 성북구 장위로10길24-6,서울특별시 성북구 장위1동 231-260,37.612525600,127.039340015,2000,한전주,02-2241-3593,서울특별시 성북구청,2022-06-01
