"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"당산1동-1",1,서울특별시 영등포구 영신로 139-5,서울특별시 영등포구 당산동1가 4-16,37.5203864,126.9005458,,전용주,02-2670-3838,서울특별시 영등포구,2022-06-27
"당산1동-10",1,서울특별시 영등포구 영등포로28길 5,서울특별시 영등포구 당산동1가 9-1,37.5199567,126.8992417,,한전주,02-2670-3838,서울특별시 영등포구,2022-06-27
"당산1동-100",1,서울특별시 영등포구 당산로20길 21,서울특별시 영등포구 당산동1가 261-2,37.5233422,126.8985341,,건축물,02-2670-3838,서울특별시 영등포구,2022-06-27
"당산1동-100-1",2,서울특별시 영등포구 당산로20길 24,서울특별시 영등포구 당산동1가 223-12,37.5230422,126.8986991,,한전주,02-2670-3838,서울특별시 영등포구,2022-06-27
"당산1동-102",1,서울특별시 영등포구 당산로20길24-2,,37.5230902,126.8988531,,한전주,02-2670-3838,서울특별시 영등포구,2022-06-27
"당산1동-103",1,서울특별시 영등포구 당산로38길 3-8,서울특별시 영등포구 당산동4가 32-39,37.5291425,126.8992296,,전용주,02-2670-3838,서울특별시 영등포구,2022-06-27
"당산1동-104",1,서울특별시 영등포구 당산로20길 28,서울특별시 영등포구 당산동1가 223-5,37.5231203,126.8992213,,한전주,02-2670-3838,서울특별시 영등포구,2022-06-27
"당산1동-104-1",1,서울특별시 영등포구 당산로20길 25,서울특별시 영등포구 당산동1가 262,37.5233348,126.8990916,,전용주,02-2670-3838,서울특별시 영등포구,2022-06-27
"당산1동-105",2,서울특별시 영등포구 영등포로27길 21-6,서울특별시 영등포구 당산동1가 186-115,37.5229351,126.8991322,,한전주,02-2670-3838,서울특별시 영등포구,2022-06-27
"당산1동-106",2,서울특별시 영등포구 당산로16길 27-5,서울특별시 영등포구 당산동1가 186-118,37.5226272,126.8990803,,건축물,02-2670-3838,서울특별시 영등포구,2022-06-27
"당산1동-107",1,서울특별시 영등포구 영등포로27길21-14,,37.5229212,126.8988411,,한전주,02-2670-3838,서울특별시 영등포구,2022-06-27
"당산1동-108",1,서울특별시 영등포구 영등포로27길 21-26,서울특별시 영등포구 당산동1가 186-48,37.5228604,126.8986271,,전용주,02-2670-3838,서울특별시 영등포구,2022-06-27
