"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
1-1-2,1,서울특별시 중구 세종대로18길 16,서울특별시 중구 북창동 35,37.5635203138,126.9780058,2015,전용주,02-3396-6152,중구청 도로시설과,2022-10-14
1-1-3,1,서울특별시 중구 세종대로18길 16,서울특별시 중구 북창동 35,37.5635203138,126.9780058,2015,전용주,02-3396-6152,중구청 도로시설과,2022-10-14
1-1-7,2,서울특별시 중구 세종대로14길 17-5,서울특별시 중구 북창동 18-7,37.56307408,126.9777026,2020,건축물,02-3396-6152,중구청 도로시설과,2022-10-14
1-1-8,1,서울특별시 중구 세종대로14길 17,서울특별시 중구 북창동 18-12,37.56294425,126.9777037,2018,건축물,02-3396-6152,중구청 도로시설과,2022-10-14
1-1-9,1,서울특별시 중구 세종대로14길 17,서울특별시 중구 북창동 18-12,37.56294425,126.9777037,2018,건축물,02-3396-6152,중구청 도로시설과,2022-10-14
1-1-12,1,서울특별시 중구 남대문로5길 39,서울특별시 중구 소공동 117,37.56313416,126.9786086,2015,전용주,02-3396-6152,중구청 도로시설과,2022-10-14
1-1-13,1,서울특별시 중구 세종대로16길 27,서울특별시 중구 북창동 11-3,37.5633802,126.9784369,2015,한전주,02-3396-6152,중구청 도로시설과,2022-10-14
2001-01-14,1,서울특별시 중구 남대문로5길 49,서울특별시 중구 북창동 5-2,37.56356332,126.9786661,2015,건축물,02-3396-6152,중구청 도로시설과,2022-10-14
2001-01-15,1,서울특별시 중구 세종대로18길 24,서울특별시 중구 북창동 11-1,37.5636417632,126.9784947,2021,건축물,02-3396-6152,중구청 도로시설과,2022-10-14
2001-01-17,1,서울특별시 중구 세종대로18길 32,서울특별시 중구 소공동 112-5,37.56372519,126.9789362,2015,전용주,02-3396-6152,중구청 도로시설과,2022-10-14
2001-01-18,1,서울특별시 중구 남대문로5길 39,서울특별시 중구 소공동 117,37.56313416,126.9786086,2015,전용주,02-3396-6152,중구청 도로시설과,2022-10-14
2001-01-20,1,서울특별시 중구 남대문로7길 11-10,서울특별시 중구 소공동 24,37.56369246,126.9809376,2015,건축물,02-3396-6152,중구청 도로시설과,2022-10-14
2001-01-21,1,서울특별시 중구 남대문로7길 11-4,서울특별시 중구 소공동 26,37.5637489758,126.9810618,2015,건축물,02-3396-6152,중구청 도로시설과,2022-10-14
2001-01-23,1,서울특별시 중구 세종대로16길 1,서울특별시 중구 태평로2가 58-9,37.56353951,126.9771159,2015,건축물,02-3396-6152,중구청 도로시설과,2022-10-14
2001-01-24,1,서울특별시 중구 남대문로1길 49,서울특별시 중구 태평로2가 68-3,37.56330232,126.9772989,2015,건축물,02-3396-6152,중구청 도로시설과,2022-10-14
2001-01-25,1,서울특별시 중구 남대문로5길 47,서울특별시 중구 북창동 10-4,37.56340618,126.9786561,2015,전용주,02-3396-6152,중구청 도로시설과,2022-10-14
2001-01-26,1,서울특별시 중구 남대문로5길 39,서울특별시 중구 소공동 117,37.56313416,126.9786086,2015,전용주,02-3396-6152,중구청 도로시설과,2022-10-14
2001-01-27,1,서울특별시 중구 남대문로5길 33,서울특별시 중구 소공동 112-35,37.56285093,126.9788368,2015,건축물,02-3396-6152,중구청 도로시설과,2022-10-14
2001-01-28,1,서울특별시 중구 세종대로 80-1,서울특별시 중구 태평로2가 68-8,37.56324092,126.9770848,2016,건축물,02-3396-6152,중구청 도로시설과,2022-10-14
2001-01-29,1,서울특별시 중구 세종대로16길 23,서울특별시 중구 북창동 11-6,37.56337305,126.9782795,2018,건축물,02-3396-6152,중구청 도로시설과,2022-10-14
2001-01-30,1,서울특별시 중구 세종대로14길 27-4,서울특별시 중구 북창동 12-3,37.56297851,126.9782938,2018,전용주,02-3396-6152,중구청 도로시설과,2022-10-14
2001-01-31,1,서울특별시 중구 세종대로14길 29,서울특별시 중구 북창동 12-4,37.56288724,126.9783197,2019,건축물,02-3396-6152,중구청 도로시설과,2022-10-14
1-1-32,1,서울특별시 중구 세종대로14길 17-6,서울특별시 중구 북창동 17-8,37.56309426,126.9779063,2021,건축물,02-3396-6152,중구청 도로시설과,2022-10-14
2001-02-07,1,서울특별시 중구 세종대로 66,서울특별시 중구 태평로2가 70-5,37.5621446807,126.9766544341,2021,한전주,02-3396-6152,중구청 도로시설과,2022-10-14
2001-02-08,1,서울특별시 중구 세종대로 66-9,서울특별시 중구 북창동 20-6,37.5622681,126.9770255,2015,한전주,02-3396-6152,중구청 도로시설과,2022-10-14
2001-02-09,1,서울특별시 중구 세종대로 72,서울특별시 중구 태평로2가 69-7,37.56249601,126.9767999,2015,한전주,02-3396-6152,중구청 도로시설과,2022-10-14
2001-02-10,1,서울특별시 중구 남대문로1길 33,서울특별시 중구 북창동 19-4,37.56259816,126.9771634,2015,한전주,02-3396-6152,중구청 도로시설과,2022-10-14
2001-02-11,1,서울특별시 중구 세종대로14길 26-4,서울특별시 중구 북창동 86-9,37.5625625,126.9782272,2015,한전주,02-3396-6152,중구청 도로시설과,2022-10-14
2001-02-13,2,서울특별시 중구 세종대로14길 26,서울특별시 중구 북창동 82,37.56271285,126.9780889,2021,전용주,02-3396-6152,중구청 도로시설과,2022-10-14
2001-02-14,1,서울특별시 중구 세종대로14길 22-4,서울특별시 중구 북창동 66,37.56266837,126.977763,2015,건축물,02-3396-6152,중구청 도로시설과,2022-10-14
2001-02-15,1,서울특별시 중구 세종대로14길 22-10,서울특별시 중구 북창동 74,37.56246549,126.977868,2019,건축물,02-3396-6152,중구청 도로시설과,2022-10-14
2001-02-17,1,서울특별시 중구 남대문로1길 30-5,서울특별시 중구 북창동 72,37.56253808,126.9777349,2015,건축물,02-3396-6152,중구청 도로시설과,2022-10-14
2001-02-19,1,서울특별시 중구 남대문로1길 26-10,서울특별시 중구 북창동 104,37.56208673,126.9779965,2020,전용주,02-3396-6152,중구청 도로시설과,2022-10-14
2001-02-20,1,서울특별시 중구 남대문로1길 26-19,서울특별시 중구 북창동 94-38,37.56234647,126.9783644,2009,건축물,02-3396-6152,중구청 도로시설과,2022-10-14
2001-02-21,1,서울특별시 중구 남대문로1길 26-30,서울특별시 중구 북창동 94-27,37.56239858,126.9785615,2018,건축물,02-3396-6152,중구청 도로시설과,2022-10-14
2001-02-22,1,서울특별시 중구 남대문로1길 26-38,서울특별시 중구 북창동 94-35,37.56225846,126.9784585,2018,건축물,02-3396-6152,중구청 도로시설과,2022-10-14
2001-02-23,1,서울특별시 중구 남대문로1길 26-34,서울특별시 중구 북창동 94-31,37.56229704,126.9785418,2018,건축물,02-3396-6152,중구청 도로시설과,2022-10-14
2001-02-24,1,서울특별시 중구 남대문로 25-22,서울특별시 중구 북창동 94-40,37.56217104,126.9783487,2018,건축물,02-3396-6152,중구청 도로시설과,2022-10-14
2001-02-25,1,서울특별시 중구 남대문로 25-22,서울특별시 중구 북창동 94-40,37.56217104,126.9783487,2018,건축물,02-3396-6152,중구청 도로시설과,2022-10-14
2001-02-26,1,서울특별시 중구 남대문로 25-14,서울특별시 중구 북창동 108-15,37.56185254,126.9783746,2015,한전주,02-3396-6152,중구청 도로시설과,2022-10-14
2001-02-27,2,서울특별시 중구 남대문로 25-15,서울특별시 중구 북창동 94-20,37.56195603,126.9781761,2015,한전주,02-3396-6152,중구청 도로시설과,2022-10-14
2001-02-28,1,서울특별시 중구 세종대로12길 25,서울특별시 중구 북창동 103-2,37.56199084,126.9778555,2020,건축물,02-3396-6152,중구청 도로시설과,2022-10-14
1-2-31,1,서울특별시 중구 남대문로 25-7,서울특별시 중구 북창동 109-8,37.56158359,126.9783231,2015,건축물,02-3396-6152,중구청 도로시설과,2022-10-14
1-2-32,1,서울특별시 중구 남대문로 25-7,서울특별시 중구 북창동 109-8,37.56158359,126.9783231,2018,건축물,02-3396-6152,중구청 도로시설과,2022-10-14
