"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"면목동",1,,서울특별시 중랑구 면목동 89-19,37.5938800212,127.0926750195,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 89-74,37.5938008733,127.0922671751,,전용주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 89-4,37.5937523667,127.0920790380,,건축물,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 89-16,37.5935956425,127.0920171340,,전용주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 89-45,37.5933074880,127.0922701893,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 89-49,37.5931549156,127.0924295426,,건축물,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 89-44,37.5933410362,127.0925753875,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 89-52,37.5931756438,127.0926524057,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 89-53,37.5930459462,127.0927096527,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 89-57,37.5930285932,127.0923186472,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 89-61,37.5928563155,127.0923290780,,건축물,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 88-75,37.5925813818,127.0927264005,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 88-75,37.5925813818,127.0927264005,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 88-78,37.5924701479,127.0923323375,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 88-83,37.5925396627,127.0920397252,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 88-84,37.5924224283,127.0920595092,,건축물,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 88-80,37.5924028809,127.0921696572,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 88-68,37.5922622610,127.0925982822,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 88-66,37.5922989589,127.0927926288,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 88-4,37.5920923684,127.0920936374,,건축물,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 88-49,37.5919393512,127.0921304746,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 88-11,37.5920774956,127.0917548386,,전용주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 88-30,37.5918622145,127.0916827875,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 88-93,37.5924704668,127.0916921391,,전용주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 95-48,37.5923075182,127.0910575164,,전용주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 95-49,37.5922141153,127.0907847473,,건축물,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 95-15,37.5922141153,127.0907847473,,전용주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 95-36,37.5924306987,127.0903344710,,전용주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 95-38,37.5924145545,127.0902382066,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 92-14,37.5926844863,127.0900092424,,전용주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 92-50,37.5926254268,127.0906560519,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 92-6,37.5927479788,127.0905162486,,건축물,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 95-2,37.5923294101,127.0911769999,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 95-40,37.5922473244,127.0911840331,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 88-90,37.5924973551,127.091409778,,전용주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 95-17,37.5921264307,127.0909252710,,건축물,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 95-29,37.5918273306,127.0911211319,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 95-44,37.5918721323,127.0907411918,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 95-25,37.5920141611,127.0909330604,,건축물,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 95-44,37.5918721323,127.0907411918,,건축물,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 95-27,37.5920178271,127.0907353676,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 209-41,37.5919396663,127.0902061556,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 209-30,,,,전용주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 209-11,37.5923600040,127.0901733736,,건축물,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 209-38,37.5921249590,127.0902601630,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 209-2,37.5923023248,127.0897210669,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 209-4,37.5922365231,127.0898780366,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 211-1,37.5926197875,127.0895453760,,건축물,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 92-19,37.5928045843,127.0897780584,,건축물,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 92-10,37.5928331240,127.0901611495,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 92-34,37.5928987432,127.0905965980,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 92-49,37.5927312113,127.0906455367,,전용주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 92-4,37.5929434963,127.0907479277,,건축물,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 92-41,37.5928973300,127.0910281159,,건축물,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 92-1,37.5931054658,127.0911361647,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 92-88,37.5930456531,127.0913522483,,전용주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 92-25,37.5929026648,127.0911202916,,건축물,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 92-2,37.5928027552,127.0911069219,,전용주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 92-57,37.5926128093,127.0911287701,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 92-43,37.5926250837,127.0909848703,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 92-64,37.5926622036,127.0915686143,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 92-65,37.5927827722,127.0915480410,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 92-67,37.5930942869,127.0914940720,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 92-82,37.5932273426,127.0918688015,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 92-78,37.5929105392,127.0918876611,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 90-58,37.5935678351,127.0916269056,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 90-65,37.5934635451,127.0914529684,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 90-3,37.5934200441,127.0910815181,,건축물,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 90-12,,,,건축물,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 90-20,37.5934045674,127.0904693737,,건축물,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 88-92,37.5923920807,127.0915758697,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 90-70,37.5930126724,127.0898318662,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 90-38,37.5930363032,127.0893242836,,건축물,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 91-13,37.5928432160,127.0888531295,,건축물,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 91-23,37.5929123133,127.0882643022,,전용주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 91-21,37.5927349763,127.0885341458,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 91-73,37.5927417955,127.0879694770,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 91-81,37.5924640835,127.0883665851,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 91-40,37.5921906048,127.0881626761,,건축물,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 91-79,37.5922984203,127.0883276649,,건축물,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 91-78,37.5923360775,127.0884536202,,건축물,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 91-31,37.5929119762,127.0881125736,,건축물,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 91-34,37.5925763560,127.0878719048,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 89-2,37.5938553285,127.0925673057,,전용주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 1295,37.5921453745,127.0893614901,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 1288-2,37.5920791984,127.0890611282,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 1288-3,37.5920990181,127.0891833257,,전용주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 1294-3,37.5923860372,127.0893512475,,건축물,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 1293,37.5925304012,127.0891987868,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 1295,37.5921453745,127.0893614901,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 1283,37.5919064324,127.0882827028,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 230-22,37.5918862067,127.0880997017,,전용주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 230-11,37.5916777048,127.0879955125,,건축물,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 230-12,37.5916480963,127.0880705478,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 230-1,37.5919634263,127.0880935651,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 214-1,37.5918748671,127.0874767053,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 214-1,37.5918748671,127.0874767053,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 225-5,37.5916673055,127.0871967888,,건축물,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 225-7,37.5915912612,127.0869533731,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 226-24,,,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 226-16,37.5917107772,127.0871373948,,건축물,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 1282-2,37.5918007234,127.0884332849,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 1278,37.5914486247,127.0884214322,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 1277-2,37.5911372315,127.0885555779,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 233-1,37.5908677851,127.0886219493,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 1276,37.5909624994,127.0887151343,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 234-4,37.5907520479,127.0888080701,,건축물,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 233-15,37.5907589611,127.0882400196,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 233-20,37.5907356020,127.0881506562,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 233-18,37.5905658848,127.0882316394,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 233-24,37.5906367416,127.0879380132,,전용주,02-2094-2731,서울특별시 중랑구청,2020-12-09
"면목동",1,,서울특별시 중랑구 면목동 233-26,37.5905697836,127.0878362571,,한전주,02-2094-2731,서울특별시 중랑구청,2020-12-09
