"자치구","안심 명","안심 주소","WGS Y 좌표","WGS X 좌표"
"중랑구","면목4동행복터작은도서관","답십리로81길 35","37.57319","127.08348"
"중랑구","상봉2동 주민센터","동일로 114길 10","37.59311","127.08090"
"중랑구","면목5동 주민센터","동일로 619","37.58575281","127.0794744"
"중랑구","중화1치안센터","동일로 792","37.60117","127.07981"
"중랑구","면목4동주민센터","면목로 246","37.57470148","127.0856085"
"중랑구","면목본동 주민센터","면목로 397","37.58735563","127.0875552"
"중구","약수교회 식당입구","다산로8길 32","37.55254904","127.0109231"
"중구","충현공영주차장","동호로 11나길 47","37.552183","127.0057"
"중구","장충체육관 후문","동호로 241","37.55864066","127.0066775"
"중구","다산동공영주차장","동호로15길 60 ","37.554383","127.008608"
"중구","버티 공영주차장","동호로17길 270","37.54907252","127.0063049"
"중구","약수동공영주차장","동호로8다길 22","37.55224091","127.0133313"
"중구","장충공영주차장","장충동2가 192-129","37.55999","127.00102"
"중구","명동주민센터","퇴계로20길 3","37.56004794","126.9858184"
"종로구","종로육아종합지원센터","성균관로1길 6-3","37.58343832","126.9977809"
"종로구","청운효자동 자치회관","자하문로19길 36","37.58183052","126.9692258"
"종로구","숭인제2동주민센터","종로65길 10","37.574875","127.019961"
"종로구","숭인1동 주민센터","지봉로 86","37.57782274","127.0156282"
"종로구","종로구민회관","지봉로5길 7-5","37.5735","127.014367"
"은평구","연신내 지구대","갈현로 195","37.61521273","126.9127089"
"은평구","갈현1동 주민센터","갈현로 301","37.62368848","126.9166888"
"은평구","구산동주민센터","갈현로17길 10","37.61175587","126.9103541"
"은평구","시립은평청소년센터","백련산로4길 16","37.594217","126.924544"
"은평구","불광1동 치안센터","불광로 129","37.61830296","126.9329288"
"은평구","역촌동 주민센터","연서로 59","37.60440243","126.9151008"
"은평구","불광보건분소","연서로34길 11","37.6215625","126.9276913"
"은평구","녹번 119안전센터","은평로 245","37.601105","126.9351461"
"은평구","신사종합사회복지관","은평로 38","37.59804776","126.9121957"
"은평구","아인스하임","은평터널로7가길 8","37.592086","126.903314"
"은평구","증산 정보도서관","증산로5길 6","37.58280941","126.9076713"
"은평구","갈현청소년센터쉼쉼","통일로89길 6-20","37.625481","126.919433"
"용산구","용산구청후문","녹사평대로 150","37.53245232","126.9904788"
"용산구","갈월종합사회복지관","두텁바위로 25","37.54577416","126.9748245"
"용산구","용산꿈나무종합타운","백범로 329","37.53890384","126.9650122"
"용산구","용산치안센터(2가동주민센터)","신흥로 90","37.54607483","126.9855706"
"용산구","한남동공영주차장","이태원로 224-19","37.53485711","127.0002687"
"용산구","보광동주민센터","장문로 95","37.5263","127.000183"
"용산구","효창종합사회복지관","효창원로 146-12","37.541217","126.963086"
"용산구","효창동주민센터","효창원로 161","37.54250832","126.9618378"
"용산구","숙대 명재관 인근","효창원로86길 33","37.54700557","126.9650752"
"영등포구","그린케어센터","당산로29길 9","37.52598152","126.8939756"
"영등포구","다사랑어린이공원(경로당)","대림로23가길 5","37.4928339","126.8992264"
"영등포구","신길6동 복지관","대방천로 193","37.499203","126.912428"
"영등포구","대림정보문화도서관","도신로 27","37.50431876","126.8960774"
"영등포구","청소년상담복지센터","도영로22길 36","37.510158","126.903292"
"영등포구","도림동 주민센터","도영로7길 10","37.50949341","126.8959996"
"영등포구","영등포 평생학습관","버드나루로15길 10","37.52599162","126.9072622"
