"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"개포1동001",1,,서울특별시 강남구개포동570,37.47606527,127.0672862,2020,한전주,02-3423-6586,서울특별시 강남구청,2021-12-13
"개포1동002",1,,서울특별시 강남구개포동571-1,37.47606527,127.0672862,2020,한전주,02-3423-6586,서울특별시 강남구청,2021-12-13
"개포1동003",1,,서울특별시 강남구개포동572-1,37.47780258,127.0652961,2020,한전주,02-3423-6586,서울특별시 강남구청,2021-12-13
"개포1동004",1,,서울특별시 강남구개포동571-1,37.47606527,127.0672862,2020,전용주,02-3423-6586,서울특별시 강남구청,2021-12-13
"개포1동005",1,,서울특별시 강남구개포동570,37.47606527,127.0672862,2020,전용주,02-3423-6586,서울특별시 강남구청,2021-12-13
"개포1동006",1,,서울특별시 강남구개포동599,37.47606527,127.0672862,2020,한전주,02-3423-6586,서울특별시 강남구청,2021-12-13
"개포1동007",1,,서울특별시 강남구개포동599,37.47606527,127.0672862,2020,전용주,02-3423-6586,서울특별시 강남구청,2021-12-13
"개포1동008",1,,서울특별시 강남구개포동597-9,37.4773714,127.063421,2020,전용주,02-3423-6586,서울특별시 강남구청,2021-12-13
"개포1동009",1,,서울특별시 강남구개포동598-1,37.47606527,127.0672862,2020,한전주,02-3423-6586,서울특별시 강남구청,2021-12-13
"개포1동010",1,,서울특별시 강남구개포동산156-2,37.47606527,127.0672862,2020,전용주,02-3423-6586,서울특별시 강남구청,2021-12-13
"개포1동011",1,,서울특별시 강남구개포동산156-2,37.47606527,127.0672862,2021,한전주,02-3423-6586,서울특별시 강남구청,2021-12-13
"개포1동012",1,,서울특별시 강남구개포동589-49,37.47606527,127.0672862,2020,한전주,02-3423-6586,서울특별시 강남구청,2021-12-13
"개포1동013",1,,서울특별시 강남구개포동589-29,37.4771887,127.0640825,2020,한전주,02-3423-6586,서울특별시 강남구청,2021-12-13
"개포1동014",1,,서울특별시 강남구개포동589-19,37.47700737,127.0641884,2020,한전주,02-3423-6586,서울특별시 강남구청,2021-12-13
"개포1동015",1,,서울특별시 강남구개포동601,37.47606527,127.0672862,2020,한전주,02-3423-6586,서울특별시 강남구청,2021-12-13
"개포1동016",1,,서울특별시 강남구개포동606-1,37.47606527,127.0672862,2020,한전주,02-3423-6586,서울특별시 강남구청,2021-12-13
"개포1동017",1,,서울특별시 강남구개포동606-1,37.47606527,127.0672862,2021,전용주,02-3423-6586,서울특별시 강남구청,2021-12-13
"개포1동018",1,,서울특별시 강남구개포동606-4,37.4762302,127.0645785,2020,전용주,02-3423-6586,서울특별시 강남구청,2021-12-13
"개포1동019",1,,서울특별시 강남구개포동606-6,37.47606527,127.0672862,2020,전용주,02-3423-6586,서울특별시 강남구청,2021-12-13
"개포1동020",1,,서울특별시 강남구개포동610-4,37.47606527,127.0672862,2020,전용주,02-3423-6586,서울특별시 강남구청,2021-12-13
"개포1동021",1,,서울특별시 강남구개포동610-4,37.47606527,127.0672862,2020,전용주,02-3423-6586,서울특별시 강남구청,2021-12-13
"개포1동022",1,,서울특별시 강남구개포동산152-3,37.47606527,127.0672862,2020,한전주,02-3423-6586,서울특별시 강남구청,2021-12-13
"개포1동023",1,,서울특별시 강남구개포동산153,37.47606527,127.0672862,2020,한전주,02-3423-6586,서울특별시 강남구청,2021-12-13
