"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"가양1동001",1,서울특별시 강서구 강서로 527,서울특별시 강서구 가양동 1456-11,37.572639,126.841702,,한전주,02-2600-6582,서울특별시 강서구청,2022-03-16
"가양1동002",1,서울특별시 강서구 강서로 521,서울특별시 강서구 가양동 1457,37.571938,126.841504,,한전주,02-2600-6582,서울특별시 강서구청,2022-03-16
"가양1동003",1,서울특별시 강서구 강서로 521,서울특별시 강서구 가양동 1457,37.572326,126.841488,,한전주,02-2600-6582,서울특별시 강서구청,2022-03-16
"가양1동004",1,서울특별시 강서구 강서로 519-42,서울특별시 강서구 가양동 225-1,37.571836,126.841092,,한전주,02-2600-6582,서울특별시 강서구청,2022-03-16
"가양1동005",1,서울특별시 강서구 강서로 519-17,서울특별시 강서구 가양동 198-5,37.571719,126.840866,,한전주,02-2600-6582,서울특별시 강서구청,2022-03-16
"가양1동006",1,서울특별시 강서구 양천로49길 56-2,서울특별시 강서구 가양동 195-1,37.571546,126.840702,,전용주,02-2600-6582,서울특별시 강서구청,2022-03-16
"가양1동007",1,서울특별시 강서구 강서로 519-54,서울특별시 강서구 가양동 231-9,37.571457,126.840546,,전용주,02-2600-6582,서울특별시 강서구청,2022-03-16
"가양1동008",1,서울특별시 강서구 양천로49길 56-13,서울특별시 강서구 가양동 238-1,37.571810,126.840417,,한전주,02-2600-6582,서울특별시 강서구청,2022-03-16
"가양1동009",1,서울특별시 강서구 양천로47나길 48-13,서울특별시 강서구 가양동 231-18,37.571970,126.840265,,한전주,02-2600-6582,서울특별시 강서구청,2022-03-16
"가양1동010",1,서울특별시 강서구 양천로47나길 48-6,서울특별시 강서구 가양동 236-4,37.572358,126.840101,,한전주,02-2600-6582,서울특별시 강서구청,2022-03-16
"가양1동011",1,서울특별시 강서구 양천로47나길 48-6,서울특별시 강서구 가양동 231-4,37.572584,126.840053,,한전주,02-2600-6582,서울특별시 강서구청,2022-03-16
"가양1동012",1,서울특별시 강서구 양천로47나길 48-1,서울특별시 강서구 가양동 232-4,37.572853,126.840218,,전용주,02-2600-6582,서울특별시 강서구청,2022-03-16
"가양1동013",1,서울특별시 강서구 양천로47나길 52-14,서울특별시 강서구 가양동 231-1,37.573025,126.840365,,전용주,02-2600-6582,서울특별시 강서구청,2022-03-16
"가양1동015",1,서울특별시 강서구 양천로47나길 53,서울특별시 강서구 가양동 234,37.572799,126.839788,,전용주,02-2600-6582,서울특별시 강서구청,2022-03-16
"가양1동016",1,서울특별시 강서구 양천로47나길 45,서울특별시 강서구 가양동 235-2,37.572634,126.839632,,전용주,02-2600-6582,서울특별시 강서구청,2022-03-16
"가양1동017",1,서울특별시 강서구 양천로47나길 42,서울특별시 강서구 가양동 236-2,37.572330,126.839823,,전용주,02-2600-6582,서울특별시 강서구청,2022-03-16
