"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"낙성대001",1,서울특별시 관악구 관악로 172-2,서울특별시 관악구 봉천동 857-4,37.4805146127,126.9527552890,,한전주,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대002",1,서울특별시 관악구 관악로 168,서울특별시 관악구 봉천동 856-4,37.4802159296,126.9529847623,,한전주,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대003",1,서울특별시 관악구 남부순환로224길 25,서울특별시 관악구 봉천동 854-7,37.4797786314,126.9533423032,,한전주,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대004",1,서울특별시 관악구 남부순환로224길 29,서울특별시 관악구 봉천동 854-15,37.4795845422,126.9533122371,,한전주,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대005",1,서울특별시 관악구 관악로 158,서울특별시 관악구 봉천동 856-7,37.4793104352,126.9528082802,,한전주,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대006",1,서울특별시 관악구 관악로 154-11,서울특별시 관악구 봉천동 855-6,37.4789778078,126.9530979176,,,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대007",1,서울특별시 관악구 남부순환로226길 40,서울특별시 관악구 봉천동 855-5,37.4789319800,126.9534104382,,,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대008",1,서울특별시 관악구 남부순환로226길 40,서울특별시 관악구 봉천동 855-5,37.4789319800,126.9534104382,,한전주,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대009",1,서울특별시 관악구 관악로 154-11,서울특별시 관악구 봉천동 855-6,37.4789778078,126.9530979176,,한전주,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대010",1,서울특별시 관악구 관악로 154,서울특별시 관악구 봉천동 1598-1,37.4789167994,126.9526209648,,한전주,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대011",1,서울특별시 관악구 관악로12길 3-12,서울특별시 관악구 봉천동 1598-27,37.4786623317,126.9527894680,,한전주,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대012",1,서울특별시 관악구 관악로 148,서울특별시 관악구 봉천동 1598-20,37.4784570897,126.9525842853,,한전주,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대013",1,서울특별시 관악구 관악로12길 5,서울특별시 관악구 봉천동 1598-23,37.4782519116,126.9527634970,,한전주,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대014",1,서울특별시 관악구 남부순환로226길 41,서울특별시 관악구 봉천동 1604-3,37.4786737213,126.9537944286,,,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대015",1,서울특별시 관악구 관악로12길 25-9,서울특별시 관악구 봉천동 1604-31,37.4785228955,126.9538025485,,,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대016",1,서울특별시 관악구 관악로12길 25-9,서울특별시 관악구 봉천동 1604-31,37.4785228955,126.9538025485,,전용주,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대017",1,서울특별시 관악구 관악로12길 29,서울특별시 관악구 봉천동 1604-43,37.4783695627,126.9540824590,,한전주,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대018",1,서울특별시 관악구 관악로12길 33,서울특별시 관악구 봉천동 1604-48,37.4782189434,126.9543910831,,한전주,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대019",1,서울특별시 관악구 관악로12길 35,서울특별시 관악구 봉천동 1604-52,37.4781525247,126.9545878421,,한전주,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대020",1,서울특별시 관악구 남부순환로228길 29,서울특별시 관악구 봉천동 1610-12,37.4784555665,126.9549074974,,,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대021",1,서울특별시 관악구 관악로14길 45,서울특별시 관악구 봉천동 1611-21,37.4787958441,126.9550557376,,한전주,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대022",1,서울특별시 관악구 관악로14길 39,서울특별시 관악구 봉천동 1603-21,37.4789279792,126.9547073272,,한전주,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대023",1,서울특별시 관악구 관악로14길 38-10,서울특별시 관악구 봉천동 1604-17,37.4784996838,126.9543546212,,한전주,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대024",1,서울특별시 관악구 관악로14길 32-3,서울특별시 관악구 봉천동 1604-14,37.4787304128,126.9543041702,,건축물,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대025",1,서울특별시 관악구 관악로14길 31,서울특별시 관악구 봉천동 1603-15,37.4790125158,126.9542963105,,한전주,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대026",1,서울특별시 관악구 관악로14길 28-3,서울특별시 관악구 봉천동 1604-9,37.4787753953,126.9541286774,,건축물,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대027",1,서울특별시 관악구 관악로14길 25-4,서울특별시 관악구 봉천동 1603-12,37.4791780721,126.9541692453,,한전주,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대028",1,서울특별시 관악구 관악로14길 23,서울특별시 관악구 봉천동 1603-5,37.4791442847,126.9539387403,,,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대029",1,서울특별시 관악구 남부순환로226길 31,서울특별시 관악구 봉천동 1603-4,37.4792187336,126.9537734034,,전용주,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대030",1,서울특별시 관악구 관악로14길 22,서울특별시 관악구 봉천동 1604-1,37.4790117694,126.9537674257,,전용주,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대031",1,서울특별시 관악구 남부순환로226길 39,서울특별시 관악구 봉천동 1604-2,37.4788581354,126.9537369948,,,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대032",1,서울특별시 관악구 관악로14길 15,서울특별시 관악구 봉천동 1599-4,37.4792433156,126.9535041964,,한전주,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대033",1,서울특별시 관악구 남부순환로226길 25,서울특별시 관악구 봉천동 1603-8,37.4795305651,126.9537536521,,한전주,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대034",1,서울특별시 관악구 남부순환로226길 19,서울특별시 관악구 봉천동 1602-4,37.4797258397,126.9538197844,,한전주,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대035",1,서울특별시 관악구 남부순환로226길 13,서울특별시 관악구 봉천동 1602-2,37.4799352769,126.9539292100,,한전주,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대036",1,서울특별시 관악구 남부순환로226길 15-5,서울특별시 관악구 봉천동 1602-15,37.4799275124,126.9541200590,,한전주,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대037",1,서울특별시 관악구 관악로16길 32-2,서울특별시 관악구 봉천동 1602-39,37.4799098302,126.9542946334,,,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대038",1,서울특별시 관악구 남부순환로226길 25,서울특별시 관악구 봉천동 1603-8,37.4795305651,126.9537536521,,한전주,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대039",1,서울특별시 관악구 남부순환로226길 23-29,서울특별시 관악구 봉천동 1602-22,37.4796451075,126.9542785141,,건축물,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대040",1,서울특별시 관악구 남부순환로226길 23-53,서울특별시 관악구 봉천동 1602-33,37.4794253894,126.9546109272,,한전주,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대041",1,서울특별시 관악구 남부순환로226길 23-47,서울특별시 관악구 봉천동 1602-32,37.4795577753,126.9546829787,,건축물,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대042",1,서울특별시 관악구 남부순환로228길 10,서울특별시 관악구 봉천동 1602-34,37.4793729196,126.9547649447,,한전주,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대043",1,서울특별시 관악구 남부순환로228길 5,서울특별시 관악구 봉천동 1611-5,37.4794532954,126.9550159995,,전용주,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대044",1,서울특별시 관악구 관악로16길 42,서울특별시 관악구 봉천동 1611-1,37.4796433005,126.9549695314,,한전주,02-879-6782,서울특별시 관악구청,2022-09-22
"낙성대045",1,서울특별시 관악구 관악로16길 41,서울특별시 관악구 봉천동 1601-11,37.4798465549,126.9549345872,,한전주,02-879-6782,서울특별시 관악구청,2022-09-22
