"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"가산동 105",1,서울특별시 금천구 서부샛길 588,서울특별시 금천구 가산동 547-69,37.47827272,126.8773307,2004,건축물,02-2627-2405,서울특별시 금천구청,2022-02-26
"가산동 106",1,서울특별시 금천구 가산디지털2로 127-143,서울특별시 금천구 가산동 547-69,37.47827272,126.8773307,2004,건축물,02-2627-2405,서울특별시 금천구청,2022-02-26
"가산동 1014",1,서울특별시 금천구 서부샛길 582-13,"서울특별시 금천구 가산동 547-63,78",37.47836088,126.8771258,2004,한전주,02-2627-2405,서울특별시 금천구청,2022-02-26
"가산동 1016",1,서울특별시 금천구 서부샛길 582-11,서울특별시 금천구 가산동 547-59,37.47814316,126.8769708,2004,건축물,02-2627-2405,서울특별시 금천구청,2022-02-26
"가산동 1017",1,서울특별시 금천구 서부샛길 582-7,서울특별시 금천구 가산동 547-59,37.47814316,126.8769708,2005,한전주,02-2627-2405,서울특별시 금천구청,2022-02-26
"가산동 1018",1,서울특별시 금천구 서부샛길 582-8,서울특별시 금천구 가산동 547-51,37.47708704,126.8777215,2005,한전주,02-2627-2405,서울특별시 금천구청,2022-02-26
"가산동 1019",1,서울특별시 금천구 서부샛길 578,서울특별시 금천구 가산동 547-51,37.47708704,126.8777215,2005,건축물,02-2627-2405,서울특별시 금천구청,2022-02-26
"가산동 1020",1,서울특별시 금천구 서부샛길 572,서울특별시 금천구 가산동 542-1,37.47986616,126.8762328,2005,한전주,02-2627-2405,서울특별시 금천구청,2022-02-26
"가산동 1021",1,서울특별시 금천구 서부샛길 572,"서울특별시 금천구 가산동 542-6,12",37.47954258,126.8763167,2005,한전주,02-2627-2405,서울특별시 금천구청,2022-02-26
"가산동 1022",1,서울특별시 금천구 서부샛길 578,서울특별시 금천구 가산동 547-51,37.47708704,126.8777215,2005,한전주,02-2627-2405,서울특별시 금천구청,2022-02-26
"가산동 1023",1,서울특별시 금천구 서부샛길 588,"서울특별시 금천구 가산동 547-57,58",37.47813672,126.8772423,2006,한전주,02-2627-2405,서울특별시 금천구청,2022-02-26
"가산동 1027",1,서울특별시 금천구 서부샛길 612,서울특별시 금천구 가산동 536-17(광명교),37.48488498,126.8743372,2005,한전주,02-2627-2405,서울특별시 금천구청,2022-02-26
