"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
01-001,1,서울특별시 동작구 장승배기로128,서울특별시 동작구 노량진동231-4,37.50894894,126.9407441,2011,한전주,02-820-1408,서울특별시 동작구청,2022-07-07
01-002,1,서울특별시 동작구 장승배기로128,서울특별시 동작구 노량진동231-4,37.50894894,126.9407441,2011,한전주,02-820-1408,서울특별시 동작구청,2022-07-07
01-003,1,서울특별시 동작구 장승배기로20길 15,서울특별시 동작구 노량진동230-39,37.50887303,126.9408307,2011,건축물,02-820-1408,서울특별시 동작구청,2022-07-07
01-004,1,서울특별시 동작구 장승배기로22길 23,서울특별시 동작구 노량진동232-247,,,2011,한전주,02-820-1408,서울특별시 동작구청,2022-07-07
01-005,1,서울특별시 동작구 장승배기로22길 22,서울특별시 동작구 노량진동231-164,37.50918695,126.9408525,2011,건축물,02-820-1408,서울특별시 동작구청,2022-07-07
01-006,1,서울특별시 동작구 장승배기로22길 15,서울특별시 동작구 노량진동232-94,37.50940541,126.9409723,2011,한전주,02-820-1408,서울특별시 동작구청,2022-07-07
01-007,1,서울특별시 동작구 장승배기로22길 15-4,서울특별시 동작구 노량진동232-35,37.50957239,126.941199,2011,건축물,02-820-1408,서울특별시 동작구청,2022-07-07
01-008,1,서울특별시 동작구 장승배기로22길 12-1,서울특별시 동작구 노량진동231-159,37.50945953,126.9405437,2011,건축물,02-820-1408,서울특별시 동작구청,2022-07-07
01-009,1,서울특별시 동작구 장승배기로22길 7,서울특별시 동작구 노량진동232-291,37.5097196,126.9406303,2011,한전주,02-820-1408,서울특별시 동작구청,2022-07-07
01-010,1,서울특별시 동작구 장승배기로22길 9-6,서울특별시 동작구 노량진동232-293,37.50973184,126.9407842,2011,건축물,02-820-1408,서울특별시 동작구청,2022-07-07
01-011,1,서울특별시 동작구 장승배기로22길 11-2,서울특별시 동작구 노량진동232-232,37.50965576,126.9408809,2011,건축물,02-820-1408,서울특별시 동작구청,2022-07-07
01-012,1,서울특별시 동작구 장승배기로22길 21-5,서울특별시 동작구 노량진동232-247,37.5094652,126.9412519,2011,한전주,02-820-1408,서울특별시 동작구청,2022-07-07
01-013,1,서울특별시 동작구 장승배기로20다길 2,서울특별시 동작구 노량진동232-167,37.50954745,126.9416039,2011,전용주,02-820-1408,서울특별시 동작구청,2022-07-07
01-014,1,서울특별시 동작구 장승배기로20다길 6,서울특별시 동작구 노량진동232-109,37.50965713,126.9414628,2011,전용주,02-820-1408,서울특별시 동작구청,2022-07-07
01-015,1,서울특별시 동작구 장승배기로20다길 10,서울특별시 동작구 노량진동232-9,37.50983832,126.9414588,2011,건축물,02-820-1408,서울특별시 동작구청,2022-07-07
01-016,1,,서울특별시 동작구 본동48-14,,,2021,한전주,02-820-1408,서울특별시 동작구청,2022-07-07
01-018,1,서울특별시 동작구 장승배기로24길 20-1,서울특별시 동작구 노량진동232-285,37.50983475,126.9409999,2011,건축물,02-820-1408,서울특별시 동작구청,2022-07-07
01-019,1,,서울특별시 동작구 노량진동232-10,,,2021,한전주,02-820-1408,서울특별시 동작구청,2022-07-07
01-020,1,서울특별시 동작구 장승배기로24길 18-1,서울특별시 동작구 노량진동232-281,37.50990811,126.9408393,2011,건축물,02-820-1408,서울특별시 동작구청,2022-07-07
01-021,1,서울특별시 동작구 노량진로475-1,서울특별시 동작구 본동5-20,,,2020,한전주,02-820-1408,서울특별시 동작구청,2022-07-07
01-022,1,,서울특별시 동작구 본동475-1,37.51277879,126.9530641,2020,전용주,02-820-1408,서울특별시 동작구청,2022-07-07
01-023,1,,서울특별시 동작구 본동475-1,37.51277879,126.9530641,2020,전용주,02-820-1408,서울특별시 동작구청,2022-07-07
01-024,1,서울특별시 동작구 장승배기로24길 8,서울특별시 동작구 노량진동232-141,37.51022404,126.9405661,2011,건축물,02-820-1408,서울특별시 동작구청,2022-07-07
01-025,1,서울특별시 동작구 노량진로26길 5,서울특별시 동작구 본동48-14,37.51208933,126.9544217,2011,한전주,02-820-1408,서울특별시 동작구청,2022-07-07
01-026,1,서울특별시 동작구 노량진로26길 16-31,서울특별시 동작구 본동50,37.51134447,126.9541766,2011,한전주,02-820-1408,서울특별시 동작구청,2022-07-07
01-027,1,서울특별시 동작구 장승배기로24가길 8,서울특별시 동작구 노량진동237,37.51078878,126.9407274,2011,한전주,02-820-1408,서울특별시 동작구청,2022-07-07
01-028,1,서울특별시 동작구 장승배기로24가길 10,서울특별시 동작구 노량진동237,37.51085505,126.940825,2011,한전주,02-820-1408,서울특별시 동작구청,2022-07-07
01-029,1,서울특별시 동작구 장승배기로24가길 14,서울특별시 동작구 노량진동237,37.51081809,126.9409687,2011,전용주,02-820-1408,서울특별시 동작구청,2022-07-07
01-030,1,서울특별시 동작구 장승배기로24나길 17,서울특별시 동작구 노량진동237,37.51079159,126.9411207,2011,한전주,02-820-1408,서울특별시 동작구청,2022-07-07
01-031,1,서울특별시 동작구 장승배기로24나길 15,서울특별시 동작구 노량진동232-63,37.51068183,126.9410832,2011,건축물,02-820-1408,서울특별시 동작구청,2022-07-07
01-032,1,서울특별시 동작구 장승배기로24나길 16-5,서울특별시 동작구 노량진동232-67,37.51068171,126.941388,2011,한전주,02-820-1408,서울특별시 동작구청,2022-07-07
01-033,1,서울특별시 동작구 장승배기로24나길 16-7,서울특별시 동작구 노량진동232-68,37.51058954,126.9413892,2011,한전주,02-820-1408,서울특별시 동작구청,2022-07-07
01-034,1,서울특별시 동작구 장승배기로24나길 14,서울특별시 동작구 노량진동232-179,37.5104825,126.9412004,2011,한전주,02-820-1408,서울특별시 동작구청,2022-07-07
01-035,1,서울특별시 동작구 장승배기로24나길 5,서울특별시 동작구 노량진동232-168,37.51029771,126.9410316,2011,건축물,02-820-1408,서울특별시 동작구청,2022-07-07
01-036,1,서울특별시 동작구 장승배기로24나길 4,서울특별시 동작구 노량진동232-204,37.51017974,126.9411647,2011,건축물,02-820-1408,서울특별시 동작구청,2022-07-07
01-039,1,서울특별시 동작구 장승배기로24길 32-9,서울특별시 동작구 노량진동232-125,37.51022343,126.9420558,2011,한전주,02-820-1408,서울특별시 동작구청,2022-07-07
01-040,1,서울특별시 동작구 장승배기로20라길 34,서울특별시 동작구 노량진동232-116,37.51042132,126.9419386,2011,한전주,02-820-1408,서울특별시 동작구청,2022-07-07
01-041,1,서울특별시 동작구 장승배기로20라길 28,서울특별시 동작구 노량진동232-241,37.51033927,126.9421763,2011,건축물,02-820-1408,서울특별시 동작구청,2022-07-07
01-042,1,서울특별시 동작구 장승배기로20라길 26,서울특별시 동작구 노량진동232-242,37.51036347,126.9422937,2011,건축물,02-820-1408,서울특별시 동작구청,2022-07-07
01-043,1,서울특별시 동작구 장승배기로20라길 21,서울특별시 동작구 노량진동232-123,37.51020566,126.9421994,2011,건축물,02-820-1408,서울특별시 동작구청,2022-07-07
01-044,1,서울특별시 동작구 장승배기로16길 127,서울특별시 동작구 노량진동232-243,37.51030071,126.9427409,2011,한전주,02-820-1408,서울특별시 동작구청,2022-07-07
01-045,1,서울특별시 동작구 장승배기로24길 60-3,서울특별시 동작구 노량진동232-276,37.51092872,126.9427684,2011,한전주,02-820-1408,서울특별시 동작구청,2022-07-07
01-047,1,서울특별시 동작구 장승배기로20라길 12,서울특별시 동작구 노량진동225-17,37.50983638,126.9424594,2011,건축물,02-820-1408,서울특별시 동작구청,2022-07-07
01-048,1,서울특별시 동작구 장승배기로20길 44,서울특별시 동작구 노량진동225-9,37.50945395,126.942195,2011,건축물,02-820-1408,서울특별시 동작구청,2022-07-07
01-049,1,서울특별시 동작구 장승배기로20라길 15-3,서울특별시 동작구 노량진동232-132,37.50986791,126.9422707,2011,한전주,02-820-1408,서울특별시 동작구청,2022-07-07
01-050,1,서울특별시 동작구 장승배기로24길 46,서울특별시 동작구 노량진동232-6,37.51064318,126.9419969,2020,한전주,02-820-1408,서울특별시 동작구청,2022-07-07
01-051,1,서울특별시 동작구 노량진로28길16-18,서울특별시 동작구 본동48-34,37.51175569,126.9548969,2020,건축물,02-820-1408,서울특별시 동작구청,2022-07-07
01-056,1,서울특별시 동작구 장승배기로24길 60,서울특별시 동작구 노량진동232-45,37.51097721,126.9426197,2011,건축물,02-820-1408,서울특별시 동작구청,2022-07-07
01-060,1,서울특별시 동작구 노량진로14길 44,서울특별시 동작구 노량진동84-33,37.51171434,126.9426398,2011,전용주,02-820-1408,서울특별시 동작구청,2022-07-07
01-061,1,서울특별시 동작구 노량진로14길 46-16,서울특별시 동작구 노량진동84-77,37.51158021,126.9423387,2011,건축물,02-820-1408,서울특별시 동작구청,2022-07-07
