"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"녹번동",1,진흥로68-17,녹번동162-17,37.6033160000,126.9219230000,2000,,02-351-7944,서울특별시 은평구청,2021-08-02
"녹번동",1,은평로353,녹번동176-1,37.6027150000,126.9222710000,2005,,02-351-7944,서울특별시 은평구청,2021-08-02
"녹번동",1,은평로9길30,녹번동176-28,37.6027760000,126.9220100000,2005,,02-351-7944,서울특별시 은평구청,2021-08-02
"녹번동",1,은평로9길27,녹번동177-2,37.6025750000,126.9216610000,2002,,02-351-7944,서울특별시 은평구청,2021-08-02
"녹번동",1,서오릉로6가길8,녹번동152-9,37.6061860000,126.9244070000,,,02-351-7944,서울특별시 은평구청,2021-08-02
"녹번동",1,은평로9길15,녹번동177-15,37.6021030000,126.9212830000,2002,,02-351-7944,서울특별시 은평구청,2021-08-02
"녹번동",1,은평로9길20,녹번동176-15,37.6019090000,126.9217390000,2004,,02-351-7944,서울특별시 은평구청,2021-08-02
"녹번동",1,은평로9길22-13,녹번동176-9,37.6016940000,126.9218670000,2000,,02-351-7944,서울특별시 은평구청,2021-08-02
"녹번동",1,은평로9길22-12,녹번동176-16,37.6018180000,126.9217180000,2000,,02-351-7944,서울특별시 은평구청,2021-08-02
"녹번동",1,은평로11길13-1,녹번동160-24,37.6020390000,126.9231980000,2000,,02-351-7944,서울특별시 은평구청,2021-08-02
"녹번동",1,은평로11길13-3,녹번동160-21,37.6020560000,126.9230280000,2000,,02-351-7944,서울특별시 은평구청,2021-08-02
"녹번동",1,은평로11길21,녹번동160-9,37.6026340000,126.9232350000,2018,,02-351-7944,서울특별시 은평구청,2021-08-02
"녹번동",1,통일로58길668-3,녹번동16-2,37.6063900000,126.9340530000,,,02-351-7944,서울특별시 은평구청,2021-08-02
"녹번동",1,은평로11길23,녹번동160-1,37.6028870000,126.9232540000,2005,,02-351-7944,서울특별시 은평구청,2021-08-02
"녹번동",1,응암로356,녹번동160-3,37.6026490000,126.9228830000,2005,,02-351-7944,서울특별시 은평구청,2021-08-02
"녹번동",1,은평로11길157-33,녹번동157-33,37.6027180000,126.9235390000,2018,,02-351-7944,서울특별시 은평구청,2021-08-02
"녹번동",1,은평로13길25-19,녹번동157-18,37.6030380000,126.9240440000,2000,,02-351-7944,서울특별시 은평구청,2021-08-02
"녹번동",1,응암로348,녹번동160-32,37.6021420000,126.9226760000,2000,,02-351-7944,서울특별시 은평구청,2021-08-02
"녹번동",1,은평로13길17-9,녹번동156-15,37.6025020000,126.9245390000,2017,,02-351-7944,서울특별시 은평구청,2021-08-02
"녹번동",1,은평로13길25-9,녹번동157-15,37.6030580000,126.9243160000,2000,,02-351-7944,서울특별시 은평구청,2021-08-02
"녹번동",1,은평로13길25,녹번동157-1,37.6031040000,126.9244280000,2003,,02-351-7944,서울특별시 은평구청,2021-08-02
"녹번동",1,은평로13길26,녹번동155-4,37.6031790000,126.9246650000,2000,,02-351-7944,서울특별시 은평구청,2021-08-02
"녹번동",1,은평로13길23,녹번동157-2,37.6030520000,126.9245540000,2001,,02-351-7944,서울특별시 은평구청,2021-08-02
"녹번동",1,은평로13길20-1,녹번동155-9,37.6028840000,126.9249980000,2000,,02-351-7944,서울특별시 은평구청,2021-08-02
"녹번동",1,은평로13길18,녹번동155-11,37.6027520000,126.9252490000,,,02-351-7944,서울특별시 은평구청,2021-08-02
"녹번동",1,은평로13길17-7,녹번동156-16,37.6024040000,126.9246420000,2018,,02-351-7944,서울특별시 은평구청,2021-08-02
"녹번동",1,통일로689-13,녹번동117-56,37.6071130000,126.9312790000,,,02-351-7944,서울특별시 은평구청,2021-08-02
"녹번동",1,은평로11길18-19,녹번동157-23,37.6026250000,126.9242430000,2018,,02-351-7944,서울특별시 은평구청,2021-08-02
"녹번동",1,은평로11길18-10,녹번동156-24,37.6024160000,126.9240760000,2018,,02-351-7944,서울특별시 은평구청,2021-08-02
"녹번동",1,은평로11길18-15,녹번동157-25,37.6027590000,126.9240820000,2004,,02-351-7944,서울특별시 은평구청,2021-08-02
"녹번동",1,은평로11길18-8,녹번동156-32,37.6023690000,126.9238050000,2005,,02-351-7944,서울특별시 은평구청,2021-08-02
"녹번동",1,은평로11길18,녹번동156-51,37.6022760000,126.9234660000,2000,,02-351-7944,서울특별시 은평구청,2021-08-02
"녹번동",1,은평로11길14-1,녹번동156-35,37.6020520000,126.9235830000,2018,,02-351-7944,서울특별시 은평구청,2021-08-02
"녹번동",1,은평로11길12-11,녹번동156-39,37.6019280000,126.9238340000,2005,,02-351-7944,서울특별시 은평구청,2021-08-02
"녹번동",1,서오릉로29-5,녹번동155-2,37.6033070000,126.9248900000,2005,,02-351-7944,서울특별시 은평구청,2021-08-02
"녹번동",1,서오릉로23,녹번동155-30,37.6031310000,126.9253570000,2019,,02-351-7944,서울특별시 은평구청,2021-08-02
