"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
01-옥인1길1,1,,서울특별시 종로구 옥인동 145-2,37.58057200,126.96797000,,한전주,02-2148-3194,서울특별시 종로구청 도로과,2022-07-08
01-옥인1길1-가,1,,서울특별시 종로구 옥인동 146,37.58057100,126.96794200,,한전주,02-2148-3194,서울특별시 종로구청 도로과,2022-07-08
01-옥인1길10,1,,서울특별시 종로구 옥인동 119-2,37.58095600,126.96781500,,전용주,02-2148-3194,서울특별시 종로구청 도로과,2022-07-08
01-옥인1길11,1,,서울특별시 종로구 옥인동 145-2,37.58102400,126.96772000,,한전주,02-2148-3194,서울특별시 종로구청 도로과,2022-07-08
01-옥인1길12-1,1,,서울특별시 종로구 옥인동 128-1,37.58104400,126.96786300,,건축물,02-2148-3194,서울특별시 종로구청 도로과,2022-07-08
01-옥인1길17,1,,서울특별시 종로구 옥인동 60-9,37.58121100,126.96753000,,한전주,02-2148-3194,서울특별시 종로구청 도로과,2022-07-08
01-옥인1길19-3,1,,서울특별시 종로구 옥인동 137-2,37.58117700,126.96733000,,건축물,02-2148-3194,서울특별시 종로구청 도로과,2022-07-08
01-옥인1길2,1,,서울특별시 종로구 옥인동 145-2,37.58071700,126.96790600,,한전주,02-2148-3194,서울특별시 종로구청 도로과,2022-07-08
01-옥인1길23,1,,서울특별시 종로구 옥인동 165-2,37.58134500,126.96729000,,한전주,02-2148-3194,서울특별시 종로구청 도로과,2022-07-08
01-옥인1길24,1,,서울특별시 종로구 옥인동 160-1,37.58139300,126.96713100,,건축물,02-2148-3194,서울특별시 종로구청 도로과,2022-07-08
01-옥인1길28,1,,서울특별시 종로구 옥인동 168-5,37.58129100,126.96702900,,건축물,02-2148-3194,서울특별시 종로구청 도로과,2022-07-08
01-옥인1길31,1,,서울특별시 종로구 옥인동 160-1,37.58118200,126.96684000,,한전주,02-2148-3194,서울특별시 종로구청 도로과,2022-07-08
01-옥인1길31-가,1,,서울특별시 종로구 옥인동 160-1,37.58116600,126.96683700,,한전주,02-2148-3194,서울특별시 종로구청 도로과,2022-07-08
01-옥인1길34,1,,서울특별시 종로구 옥인동 168-2,37.58119600,126.96671800,,건축물,02-2148-3194,서울특별시 종로구청 도로과,2022-07-08
01-옥인2길10,1,,서울특별시 종로구 누상동 67-2,37.58059700,126.96679800,,건축물,02-2148-3194,서울특별시 종로구청 도로과,2022-07-08
01-옥인2길15,1,,서울특별시 종로구 누상동 85-1,37.58032600,126.96687400,,한전주,02-2148-3194,서울특별시 종로구청 도로과,2022-07-08
01-옥인2길15-가,1,,서울특별시 종로구 누상동 84,37.58031500,126.96688200,,한전주,02-2148-3194,서울특별시 종로구청 도로과,2022-07-08
01-옥인2길17-4,1,,서울특별시 종로구 누상동 83-4,37.58025200,126.96706700,,건축물,02-2148-3194,서울특별시 종로구청 도로과,2022-07-08
01-옥인2길2,1,,서울특별시 종로구 누상동 52,37.58092800,126.96691300,,건축물,02-2148-3194,서울특별시 종로구청 도로과,2022-07-08
01-옥인2길6,1,,서울특별시 종로구 누상동 31-7,37.58081900,126.96691600,,건축물,02-2148-3194,서울특별시 종로구청 도로과,2022-07-08
01-옥인3길10,1,,서울특별시 종로구 누상동 31-7,37.58070900,126.96622800,,한전주,02-2148-3194,서울특별시 종로구청 도로과,2022-07-08
01-옥인3길14,1,,서울특별시 종로구 누상동 29-1,37.58069700,126.96599400,,한전주,02-2148-3194,서울특별시 종로구청 도로과,2022-07-08
01-옥인3길18-3,1,,서울특별시 종로구 누상동 29-5,37.58082800,126.96577200,,건축물,02-2148-3194,서울특별시 종로구청 도로과,2022-07-08
01-옥인3길2-1,1,,서울특별시 종로구 누상동 20-4,37.58087000,126.96638000,,한전주,02-2148-3194,서울특별시 종로구청 도로과,2022-07-08
01-옥인3길2-3,1,,서울특별시 종로구 누상동 17,37.58100700,126.96629600,,건축물,02-2148-3194,서울특별시 종로구청 도로과,2022-07-08
01-옥인3길2-7,1,,서울특별시 종로구 누상동 20-1,37.58102400,126.96602700,,한전주,02-2148-3194,서울특별시 종로구청 도로과,2022-07-08
01-옥인3길22,1,,서울특별시 종로구 누상동 29-16,37.58051400,126.96567600,,한전주,02-2148-3194,서울특별시 종로구청 도로과,2022-07-08
01-옥인3길24,1,,서울특별시 종로구 누상동 166-35,37.58034500,126.96567600,,한전주,02-2148-3194,서울특별시 종로구청 도로과,2022-07-08
01-옥인3길32-1,1,,서울특별시 종로구 누상동 166-3,37.57994900,126.96568400,,한전주,02-2148-3194,서울특별시 종로구청 도로과,2022-07-08
01-옥인3길32-10,1,,서울특별시 종로구 누상동 166-83,37.57958800,126.96559400,,건축물,02-2148-3194,서울특별시 종로구청 도로과,2022-07-08
01-옥인3길32-6,1,,서울특별시 종로구 누상동 166-83,37.57975800,126.96557400,,건축물,02-2148-3194,서울특별시 종로구청 도로과,2022-07-08
01-옥인3길39,1,,서울특별시 종로구 누상동 27-10,37.57963900,126.96581100,,한전주,02-2148-3194,서울특별시 종로구청 도로과,2022-07-08
