seq,police_cat1,police_cat2,police_cat3,police_cat4,police_nam,addr,tel,lat,lon
230,"사회,공공기관",행정기관,경찰서,경찰서,서울강서경찰서 가양지구대,서울 강서구 가양동 1492,02-3665-9112,37.56102783,126.864389
244,"사회,공공기관",행정기관,경찰서,경찰서,서울은평경찰서,서울 은평구 불광동 산 24,,37.62852425,126.928631
252,"사회,공공기관",행정기관,경찰서,경찰서,서울서부경찰서,서울 은평구 녹번동 177-15,02-335-9324,37.60215668,126.9213169
292,"사회,공공기관",행정기관,경찰서,경찰서,서울구로경찰서,서울 구로구 구로동 436,,37.49488447,126.8866603
317,"사회,공공기관",행정기관,경찰서,경찰서,서울양천경찰서,서울 양천구 신정동 321,,37.51655491,126.865543
383,"사회,공공기관",행정기관,경찰서,경찰서,서울금천경찰서,서울 금천구 시흥동 1030,,37.45725315,126.8967492
405,"사회,공공기관",행정기관,경찰서,경찰서,서울중랑경찰서,서울 중랑구 신내동 810,02-2171-0323,37.61823908,127.1045423
523,"사회,공공기관",행정기관,경찰서,경찰서,서울강서경찰서,서울 강서구 화곡동 980-27,,37.55134709,126.8498861
786,"사회,공공기관",행정기관,경찰서,경찰서,서울방배경찰서 (2024년6월예정),서울 서초구 방배동 455-10,,37.48155945,126.9830091
801,"사회,공공기관",행정기관,경찰서,경찰서,서울관악경찰서,서울 관악구 봉천동 1695-5,02-870-0112,37.47458753,126.9510624
842,"사회,공공기관",행정기관,경찰서,경찰서,서울송파경찰서,서울 송파구 가락동 9,,37.50197573,127.1271613
846,"사회,공공기관",행정기관,경찰서,경찰서,서울강동경찰서,서울 강동구 성내동 541-1,,37.52867275,127.1268898
2055,"사회,공공기관",행정기관,경찰서,경찰서,서초경찰서,서울 서초구 서초동 1726-1,,37.49561087,127.005281
2062,"사회,공공기관",행정기관,경찰서,경찰서,서울강남경찰서,서울 강남구 대치동 998,,37.50938995,127.0670705
2065,"사회,공공기관",행정기관,경찰서,경찰서,수서경찰서,서울 강남구 개포동 14,,37.49349727,127.077143
2106,"사회,공공기관",행정기관,경찰서,경찰서,서울강북경찰서,서울 강북구 번동 415-15,,37.63740656,127.0273387
2110,"사회,공공기관",행정기관,경찰서,경찰서,가족간범죄 통합예방지원센터,서울 강북구 번동 619-34,,37.62927795,127.0397223
2126,"사회,공공기관",행정기관,경찰서,경찰서,서울종암경찰서,서울 성북구 하월곡동 27-5,,37.60370056,127.04013
2130,"사회,공공기관",행정기관,경찰서,경찰서,서울종암경찰서 (2024년 신축예정),서울 성북구 종암동 3-1260,,37.60201992,127.0322654
2132,"사회,공공기관",행정기관,경찰서,경찰서,서울도봉경찰서,서울 도봉구 창동 17,,37.65339042,127.052706
2172,"사회,공공기관",행정기관,경찰서,경찰서,서울방배경찰서,서울 서초구 방배동 765-14,,37.49468537,126.9832865
2195,"사회,공공기관",행정기관,경찰서,경찰서,서울광진경찰서,서울 광진구 구의동 254-32,02-2285-7602,37.54292165,127.0839617
2215,"사회,공공기관",행정기관,경찰서,경찰서,서울영등포경찰서,서울 영등포구 당산동3가 2-11,,37.52585221,126.9009446
2221,"사회,공공기관",행정기관,경찰서,경찰서,서울노원경찰서,서울 노원구 하계동 250,,37.64233453,127.0714048
2240,"사회,공공기관",행정기관,경찰서,경찰서,서울동대문경찰서,서울 동대문구 청량리동 229,02-968-0112,37.58508042,127.0457628
2241,"사회,공공기관",행정기관,경찰서,경찰서,서울성동경찰서,서울 성동구 행당동 192-8,02-2298-0112,37.56179474,127.0364721
2263,"사회,공공기관",행정기관,경찰서,경찰서,서울성북경찰서,서울 성북구 삼선동5가 301,,37.58989767,127.0162547
2266,"사회,공공기관",행정기관,경찰서,경찰서,서울혜화경찰서,서울 종로구 인의동 48-57,02-762-0112,37.57189152,126.9989359
2282,"사회,공공기관",행정기관,경찰서,경찰서,서울동작경찰서,서울 동작구 노량진동 72-35,,37.51314695,126.9428571
2291,"사회,공공기관",행정기관,경찰서,경찰서,서울마포경찰서,서울 마포구 아현동 618-1,,37.55101186,126.9539412
2303,"사회,공공기관",행정기관,경찰서,경찰서,마포경찰서 경무과,서울 마포구 아현동 618-1,02-3149-6662,37.55079298,126.9541122
2304,"사회,공공기관",행정기관,경찰서,경찰서,서울용산경찰서,서울 용산구 원효로1가 12-12,,37.54117934,126.9677744
2305,"사회,공공기관",행정기관,경찰서,경찰서,서울남대문경찰서,서울 중구 남대문로5가 561,,37.55477683,126.973495
2313,"사회,공공기관",행정기관,경찰서,경찰서,서울서대문경찰서,서울 서대문구 미근동 165,,37.56490234,126.9667907
2338,"사회,공공기관",행정기관,경찰서,경찰서,서울종로경찰서,서울 종로구 공평동 1 1~6층,,37.57185082,126.9841704
2339,"사회,공공기관",행정기관,경찰서,경찰서,서울중부경찰서,서울 중구 저동2가 62-1,,37.56361813,126.9895869
