seq,police_cat1,police_cat2,police_cat3,police_cat4,police_nam,addr,tel,lat,lon
235,"사회,공공기관",행정기관,경찰서,치안센터,불광2치안센터,서울 은평구 불광동 481-88,02-350-1691,37.62454012,126.9202387
236,"사회,공공기관",행정기관,경찰서,치안센터,상림치안센터,서울 은평구 진관동 15-13,02-350-1693,37.64425568,126.9290194
237,"사회,공공기관",행정기관,경찰서,치안센터,갈현치안센터,서울 은평구 갈현동 436-51,,37.62389973,126.9166372
243,"사회,공공기관",행정기관,경찰서,치안센터,신도치안센터,서울 은평구 진관동 208-18,02-350-1694,37.63431015,126.9312811
247,"사회,공공기관",행정기관,경찰서,치안센터,구산치안센터,서울 은평구 구산동 14-10,,37.61150895,126.9111602
251,"사회,공공기관",행정기관,경찰서,치안센터,신사1치안센터,서울 은평구 신사동 29-10,02-335-9850,37.59790749,126.9109998
255,"사회,공공기관",행정기관,경찰서,치안센터,수색치안센터,서울 은평구 수색동 380-1,02-372-7840,37.58198819,126.8949605
257,"사회,공공기관",행정기관,경찰서,치안센터,증산 치안센터,서울 은평구 증산동 186-11,,37.58357938,126.9068063
259,"사회,공공기관",행정기관,경찰서,치안센터,역촌1치안센터,서울 은평구 역촌동 23-34,02-350-1695,37.6044429,126.9179454
260,"사회,공공기관",행정기관,경찰서,치안센터,응암4치안센터,서울 은평구 응암3동 696,,37.58596136,126.9173724
263,"사회,공공기관",행정기관,경찰서,치안센터,응암1치안센터,서울 은평구 응암동 98-74,,37.59997765,126.9233994
281,"사회,공공기관",행정기관,경찰서,치안센터,우면치안센터,서울 서초구 우면동 69,,37.47184826,127.027172
287,"사회,공공기관",행정기관,경찰서,치안센터,개봉3치안센터,서울 구로구 개봉동 360-4,02-2612-0131,37.48585275,126.8538254
289,"사회,공공기관",행정기관,경찰서,치안센터,구로1치안센터,서울 구로구 구로동 685-243,02-852-0112,37.49119677,126.8751637
290,"사회,공공기관",행정기관,경찰서,치안센터,개봉치안센터,서울 구로구 개봉동 142-32,02-2613-0110,37.49800443,126.8529377
299,"사회,공공기관",행정기관,경찰서,치안센터,개봉1치안센터,서울 구로구 개봉동 416-168,02-2614-0102,37.50313977,126.8469562
302,"사회,공공기관",행정기관,경찰서,치안센터,구로2치안센터,서울 구로구 구로동 704-12,02-853-0103,37.49130241,126.8833096
304,"사회,공공기관",행정기관,경찰서,치안센터,구로치안센터,서울 구로구 구로동 603-26,02-2634-0207,37.50403665,126.8809283
306,"사회,공공기관",행정기관,경찰서,치안센터,신도림치안센터,서울 구로구 신도림동 390-44,02-2633-0335,37.50767302,126.8808457
343,"사회,공공기관",행정기관,경찰서,치안센터,마천1치안센터,서울 송파구 마천동 207-10,02-3402-6030,37.49646977,127.1550023
377,"사회,공공기관",행정기관,경찰서,치안센터,장지치안센터,서울 송파구 장지동 600-35,02-3402-6020,37.47060055,127.1274337
385,"사회,공공기관",행정기관,경찰서,치안센터,신독산치안센터,서울 금천구 독산동 1088-3,02-895-0113,37.45794779,126.8878102
388,"사회,공공기관",행정기관,경찰서,치안센터,독산본치안센터,서울 금천구 독산동 968-2,02-861-0112,37.47532296,126.8999396
391,"사회,공공기관",행정기관,경찰서,치안센터,시흥3치안센터,서울 금천구 시흥동 985-26,,37.44576842,126.9026279
392,"사회,공공기관",행정기관,경찰서,치안센터,시흥본동치안센터,서울 금천구 시흥동 841,,37.45553218,126.9041975
395,"사회,공공기관",행정기관,경찰서,치안센터,시흥5치안센터,서울 금천구 시흥동 927-3,,37.44859941,126.9094411
396,"사회,공공기관",행정기관,경찰서,치안센터,시흥4치안센터,서울 금천구 시흥동 3-83,,37.4623278,126.9101705
398,"사회,공공기관",행정기관,경찰서,치안센터,가락2치안센터,서울 송파구 가락동 197-21,02-3402-6038,37.49321762,127.1323843
404,"사회,공공기관",행정기관,경찰서,치안센터,망우1치안센터,서울 중랑구 망우동 146-41,02-435-7100,37.60123396,127.1063983
406,"사회,공공기관",행정기관,경찰서,치안센터,망우3치안센터,서울 중랑구 망우본동 405-25,,37.59468963,127.1017781
424,"사회,공공기관",행정기관,경찰서,치안센터,암사1치안센터,서울 강동구 암사동 493-13,,37.55148593,127.132734
426,"사회,공공기관",행정기관,경찰서,치안센터,천호2치안센터,서울 강동구 천호동 326-16,02-3449-7808,37.54630313,127.1238554
437,"사회,공공기관",행정기관,경찰서,치안센터,면목7치안센터,서울 중랑구 면목동 353-45,02-2171-0029,37.57737809,127.085729
445,"사회,공공기관",행정기관,경찰서,치안센터,대공원치안센터,서울 광진구 능동 18,,37.55159291,127.0888184
507,"사회,공공기관",행정기관,경찰서,치안센터,개화2치안센터,서울 강서구 개화동 442-9,02-2661-0336,37.57930117,126.7999409
544,"사회,공공기관",행정기관,경찰서,치안센터,신월3치안센터,서울 양천구 신월동 49-11,,37.53593067,126.8272385
549,"사회,공공기관",행정기관,경찰서,치안센터,삼성치안센터,서울 관악구 신림동 69-9,,37.46250076,126.9316737
605,"사회,공공기관",행정기관,경찰서,치안센터,수궁치안센터,서울 구로구 온수동 120-8,02-2614-0103,37.49347736,126.8189051
611,"사회,공공기관",행정기관,경찰서,치안센터,신월4치안센터,서울 양천구 신월동 425-2,,37.52465409,126.8402786
738,"사회,공공기관",행정기관,경찰서,치안센터,우이치안센터,서울 강북구 우이동 265,02-944-4335,37.66310956,127.0129294
785,"사회,공공기관",행정기관,경찰서,치안센터,염곡치안센터,서울 서초구 염곡동 180-11,,37.46192918,127.0511765
793,"사회,공공기관",행정기관,경찰서,치안센터,방배3치안센터,서울 서초구 방배동 1023-10,,37.47825577,127.0000543
796,"사회,공공기관",행정기관,경찰서,치안센터,방서치안센터,서울 서초구 방배동 1001-32,,37.48236068,127.0044592
797,"사회,공공기관",행정기관,경찰서,치안센터,인헌치안센터,서울 관악구 봉천동 738-256,,37.47394747,126.965384
798,"사회,공공기관",행정기관,경찰서,치안센터,사당4치안센터,서울 동작구 사당동 300-8,,37.4809337,126.9713639
802,"사회,공공기관",행정기관,경찰서,치안센터,대학동치안센터,서울 관악구 신림동 818-20,,37.46857323,126.9375555
805,"사회,공공기관",행정기관,경찰서,치안센터,사당3치안센터,서울 동작구 사당동 169-21,,37.48361585,126.9746463
806,"사회,공공기관",행정기관,경찰서,치안센터,행운치안센터,서울 관악구 봉천동 1685-2,02-870-0828,37.47846214,126.9615289
2153,"사회,공공기관",행정기관,경찰서,치안센터,목2동치안센터,서울 양천구 목동 553-31,,37.54416906,126.8689967
841,"사회,공공기관",행정기관,경찰서,치안센터,길동2치안센터,서울 강동구 길동 157-15,,37.54019934,127.147729
850,"사회,공공기관",행정기관,경찰서,치안센터,상일치안센터,서울 강동구 상일동 188,,37.54700269,127.1673826
852,"사회,공공기관",행정기관,경찰서,치안센터,명일1치안센터,서울 강동구 명일동 327-5,,37.54973775,127.1459236
2046,"사회,공공기관",행정기관,경찰서,치안센터,반포치안센터,서울 서초구 반포동 712-17,02-511-3795,37.50791567,127.0171824
2047,"사회,공공기관",행정기관,경찰서,치안센터,잠원치안센터,서울 서초구 잠원동 58-27,02-537-0214,37.5149944,127.0138721
2050,"사회,공공기관",행정기관,경찰서,치안센터,청담2치안센터,서울 강남구 청담동 8,02-511-5115,37.52272333,127.047874
2052,"사회,공공기관",행정기관,경찰서,치안센터,역서치안센터 (휴업중),서울 강남구 역삼동 830-23,02-567-0073,37.49388567,127.0322166
2054,"사회,공공기관",행정기관,경찰서,치안센터,압구정치안센터,서울 강남구 압구정동 458,,37.53061105,127.0305331
2057,"사회,공공기관",행정기관,경찰서,치안센터,은마치안센터,서울 강남구 대치동 1020,,37.49835747,127.0614832
2060,"사회,공공기관",행정기관,경찰서,치안센터,코엑스치안센터,서울 강남구 삼성동 159-6,02-6001-0112,37.51000319,127.0592804
2068,"사회,공공기관",행정기관,경찰서,치안센터,잠실치안센터,서울 송파구 잠실동 230-3,,37.50603595,127.0846193
2070,"사회,공공기관",행정기관,경찰서,치안센터,자양2치안센터,서울 광진구 자양동 669-2,02-2285-7877,37.52882584,127.0847367
2073,"사회,공공기관",행정기관,경찰서,치안센터,잠실5치안센터,서울 송파구 잠실동 27-4,02-3402-6019,37.5133179,127.0941073
2074,"사회,공공기관",행정기관,경찰서,치안센터,성수1치안센터,서울 성동구 성수동1가 276-45,,37.53966797,127.0511934
2075,"사회,공공기관",행정기관,경찰서,치안센터,수서역치안센터,서울 강남구 수서동 214-2 1층,,37.48607726,127.104385
2081,"사회,공공기관",행정기관,경찰서,치안센터,금남치안센터,서울 성동구 금호동4가 593,02-2297-0482,37.54763481,127.0210616
2083,"사회,공공기관",행정기관,경찰서,치안센터,뚝섬치안센터,서울 성동구 성수동1가 685-580,,37.54645977,127.0443394
2084,"사회,공공기관",행정기관,경찰서,치안센터,한남2치안센터,서울 용산구 한남동 산 10-215,02-2198-0184,37.53978357,127.0015207
2087,"사회,공공기관",행정기관,경찰서,치안센터,문정2치안센터,서울 송파구 문정동 150-39,,37.48998151,127.1111025
2088,"사회,공공기관",행정기관,경찰서,치안센터,석촌치안센터,서울 송파구 석촌동 265-28,,37.50363291,127.1038891
2092,"사회,공공기관",행정기관,경찰서,치안센터,송파1치안센터,서울 송파구 송파동 113-1,,37.50635263,127.1093443
2093,"사회,공공기관",행정기관,경찰서,치안센터,월드치안센터,서울 송파구 신천동 29 제2롯데월드 지하1층,,37.5137525,127.1044461
2094,"사회,공공기관",행정기관,경찰서,치안센터,천호1치안센터,서울 강동구 천호동 76-2,02-3449-7828,37.54512481,127.1367489
2095,"사회,공공기관",행정기관,경찰서,치안센터,천호3치안센터,서울 강동구 천호동 453-11,02-3449-7809,37.53790545,127.1275889
2096,"사회,공공기관",행정기관,경찰서,치안센터,성내2치안센터,서울 강동구 성내동 39-5,,37.53499659,127.1246151
2098,"사회,공공기관",행정기관,경찰서,치안센터,풍납1치안센터,서울 송파구 풍납동 493-20,02-483-0368,37.53507388,127.1204606
2103,"사회,공공기관",행정기관,경찰서,치안센터,미아3치안센터,서울 강북구 미아동 867-103,02-944-4331,37.62363178,127.0210242
2104,"사회,공공기관",행정기관,경찰서,치안센터,숭인치안센터,서울 강북구 미아동 864-31,02-944-4333,37.61256213,127.0298961
2105,"사회,공공기관",행정기관,경찰서,치안센터,동화치안센터,서울 강북구 미아동 197-1,02-944-4332,37.62714806,127.0267799
2109,"사회,공공기관",행정기관,경찰서,치안센터,번2치안센터,서울 강북구 번동 619-34,02-944-4337,37.62933561,127.0397314
2115,"사회,공공기관",행정기관,경찰서,치안센터,수유6치안센터,서울 강북구 수유동 605-472,02-944-4336,37.6442039,127.0157815
2117,"사회,공공기관",행정기관,경찰서,치안센터,쌍문1치안센터,서울 도봉구 쌍문동 416-27,02-2289-9893,37.65008485,127.0201885
2123,"사회,공공기관",행정기관,경찰서,치안센터,장위1치안센터,서울 성북구 장위동 233-250,02-915-3301,37.6137824,127.0457306
2127,"사회,공공기관",행정기관,경찰서,치안센터,정릉4치안센터,서울 성북구 정릉동 299-14,02-920-1876,37.61191692,127.0081728
2128,"사회,공공기관",행정기관,경찰서,치안센터,길음2치안센터,서울 성북구 길음동 1064-1,02-980-1114,37.60665585,127.0273705
2129,"사회,공공기관",행정기관,경찰서,치안센터,길음1치안센터,서울 성북구 길음동 1276-3,02-920-1874,37.60389934,127.0250321
2131,"사회,공공기관",행정기관,경찰서,치안센터,월계2치안센터,서울 노원구 월계동 596,,37.62846148,127.0557493
2135,"사회,공공기관",행정기관,경찰서,치안센터,정릉1치안센터,서울 성북구 정릉동 966-173,,37.60387937,127.0153698
2137,"사회,공공기관",행정기관,경찰서,치안센터,장위2치안센터,서울 성북구 장위동 280-27,,37.61001392,127.0514228
2143,"사회,공공기관",행정기관,경찰서,치안센터,월계치안센터,서울 노원구 월계동 412-8,,37.62286444,127.061427
2144,"사회,공공기관",행정기관,경찰서,치안센터,석관1치안센터,서울 성북구 석관동 124-62,02-960-3093,37.61127673,127.0633157
2145,"사회,공공기관",행정기관,경찰서,치안센터,월곡2치안센터,서울 성북구 하월곡동 37-9,02-919-9437,37.60302384,127.0429234
2147,"사회,공공기관",행정기관,경찰서,치안센터,월계3치안센터,서울 노원구 월계동 15-2,02-971-4300,37.62087607,127.0693567
2149,"사회,공공기관",행정기관,경찰서,치안센터,이문2치안센터,서울 동대문구 이문동 251-18,,37.6039757,127.0622042
2150,"사회,공공기관",행정기관,경찰서,치안센터,종암2치안센터,서울 성북구 종암동 15-27,,37.59819351,127.0350925
2151,"사회,공공기관",행정기관,경찰서,치안센터,하계1치안센터,서울 노원구 하계동 141-8,02-2092-0805,37.63329159,127.0724702
2152,"사회,공공기관",행정기관,경찰서,치안센터,목2치안센터,서울 양천구 목2동 553-31,,37.54416906,126.8690012
2156,"사회,공공기관",행정기관,경찰서,치안센터,목6치안센터,서울 양천구 목동 909-3,,37.53810903,126.8846352
2158,"사회,공공기관",행정기관,경찰서,치안센터,목4치안센터,서울 양천구 목동 904-19,,37.53237599,126.8682933
2159,"사회,공공기관",행정기관,경찰서,치안센터,목제1동치안센터,서울 양천구 목동 919-3,,37.53036081,126.8710618
2163,"사회,공공기관",행정기관,경찰서,치안센터,신원치안센터,서울 관악구 신림동 1628-43,02-870-0838,37.47946182,126.9263943
2164,"사회,공공기관",행정기관,경찰서,치안센터,난곡치안센터,서울 관악구 난곡동 634-3,,37.4712585,126.9200401
2165,"사회,공공기관",행정기관,경찰서,치안센터,서원치안센터,서울 관악구 신림동 1637-24,,37.48189631,126.9292863
2166,"사회,공공기관",행정기관,경찰서,치안센터,신림3치안센터,서울 관악구 신림동 634-3,,37.47125488,126.9200175
2169,"사회,공공기관",행정기관,경찰서,치안센터,상도3치안센터,서울 동작구 상도동 320-13,02-814-6189,37.49992431,126.9303776
2170,"사회,공공기관",행정기관,경찰서,치안센터,양평2치안센터,서울 영등포구 양평동4가 172-1,02-2118-9066,37.5378781,126.8959729
2173,"사회,공공기관",행정기관,경찰서,치안센터,사당5치안센터,서울 동작구 사당동 200-8,,37.48899442,126.9657253
2174,"사회,공공기관",행정기관,경찰서,치안센터,방배4치안센터,서울 서초구 방배4동 821-1,,37.49090881,126.9869284
2175,"사회,공공기관",행정기관,경찰서,치안센터,보라매치안센터,서울 관악구 봉천동 1708,02-870-0819,37.48333745,126.9434621
2176,"사회,공공기관",행정기관,경찰서,치안센터,청림치안센터,서울 관악구 봉천동 1003,02-870-0859,37.49139953,126.9583109
2177,"사회,공공기관",행정기관,경찰서,치안센터,청룡2치안센터,서울 관악구 봉천동 1733,02-870-0839,37.47822035,126.9410669
2178,"사회,공공기관",행정기관,경찰서,치안센터,상도1치안센터,서울 동작구 상도동 495-4,,37.49474088,126.9545378
2179,"사회,공공기관",행정기관,경찰서,치안센터,상도5치안센터,서울 동작구 상도동 495-4,,37.49471746,126.9545593
2183,"사회,공공기관",행정기관,경찰서,치안센터,상도4치안센터,서울 동작구 상도동 198-66,,37.50069335,126.9376972
2184,"사회,공공기관",행정기관,경찰서,치안센터,상도2치안센터,서울 동작구 상도동 364-36,02-811-9302,37.50416296,126.939116
2185,"사회,공공기관",행정기관,경찰서,치안센터,신길5치안센터,서울 영등포구 신길동 253-256,02-2118-9038,37.50065126,126.9077814
2190,"사회,공공기관",행정기관,경찰서,치안센터,흑석2치안센터,서울 동작구 흑석동 269-1,,37.50598469,126.9689476
2196,"사회,공공기관",행정기관,경찰서,치안센터,장안3치안센터,서울 동대문구 장안동 354-9,02-2213-5394,37.56784672,127.0733168
2197,"사회,공공기관",행정기관,경찰서,치안센터,면목4치안센터,서울 중랑구 면목동 1331-2,02-2171-0028,37.57436158,127.0805907
2203,"사회,공공기관",행정기관,경찰서,치안센터,신정2치안센터,서울 양천구 신정동 329-9,,37.51918061,126.8705426
2205,"사회,공공기관",행정기관,경찰서,치안센터,남장안치안센터,서울 동대문구 장안동 217-1,,37.56542711,127.0614511
2206,"사회,공공기관",행정기관,경찰서,치안센터,답십리2치안센터,서울 동대문구 답십리동 16-14,,37.56718718,127.0606252
2207,"사회,공공기관",행정기관,경찰서,치안센터,면목1치안센터,서울 중랑구 면목본동 108-3,,37.5866814,127.0886427
2208,"사회,공공기관",행정기관,경찰서,치안센터,답십리1치안센터,서울 동대문구 답십리동 530-24,02-2244-3285,37.56466269,127.056811
2211,"사회,공공기관",행정기관,경찰서,치안센터,동마치안센터,서울 성동구 마장동 780-2,02-2292-7067,37.56626413,127.0455521
2216,"사회,공공기관",행정기관,경찰서,치안센터,도림치안센터,서울 영등포구 도림동 133-1,02-2118-9027,37.50953994,126.9047076
2218,"사회,공공기관",행정기관,경찰서,치안센터,공릉치안센터,서울 노원구 공릉2동 441-121,02-2092-0825,37.62673188,127.0789163
2219,"사회,공공기관",행정기관,경찰서,치안센터,공릉2치안센터,서울 노원구 공릉동 91-1,,37.62264679,127.0866464
2230,"사회,공공기관",행정기관,경찰서,치안센터,상계8치안센터,서울 노원구 상계동 657,,37.6668443,127.0517566
2231,"사회,공공기관",행정기관,경찰서,치안센터,상계4치안센터,서울 노원구 상계3.4동 111-41,02-2092-0865,37.67148621,127.077871
2232,"사회,공공기관",행정기관,경찰서,치안센터,중계본동치안센터,서울 노원구 중계동 363-5,02-2092-0845,37.64762652,127.0804115
