seq,police_cat1,police_cat2,police_cat3,police_cat4,police_nam,addr,tel,lat,lon
229,"사회,공공기관",행정기관,경찰서,지구대,가양지구대,서울 강서구 등촌동 706-1,02-3665-9112,37.5592581,126.850092
234,"사회,공공기관",행정기관,경찰서,파출소,진관파출소,서울 은평구 진관동 산 100-23,02-350-1930,37.63995824,126.9209111
246,"사회,공공기관",행정기관,경찰서,지구대,연신내지구대,서울 은평구 갈현동 506-45,02-350-1936,37.61521858,126.9127143
249,"사회,공공기관",행정기관,경찰서,파출소,방화3파출소,서울 강서구 방화동 822,02-2663-1121,37.57981538,126.8146885
250,"사회,공공기관",행정기관,경찰서,지구대,신사지구대,서울 은평구 신사동 184-56,02-335-9810,37.59177275,126.9053524
253,"사회,공공기관",행정기관,경찰서,파출소,상암파출소,서울 마포구 상암동 1614,02-309-9525,37.57829311,126.8938336
254,"사회,공공기관",행정기관,경찰서,파출소,역촌파출소,서울 은평구 역촌동 62-26,02-335-9840,37.60461026,126.9150868
256,"사회,공공기관",행정기관,경찰서,파출소,응암3파출소,서울 은평구 응암2동 576-43,02-335-9830,37.59052771,126.9175349
258,"사회,공공기관",행정기관,경찰서,파출소,북가좌파출소,서울 서대문구 북가좌동 333-5,02-335-8306,37.58298847,126.9128878
261,"사회,공공기관",행정기관,경찰서,지구대,응암지구대,서울 은평구 응암동 84-8,02-335-9800,37.60164103,126.9264643
278,"사회,공공기관",행정기관,경찰서,파출소,우면파출소,서울 서초구 우면동 768,02-572-0113,37.45610422,127.0160222
286,"사회,공공기관",행정기관,경찰서,지구대,개봉지구대,서울 구로구 개봉동 259-1,02-2612-0330,37.49183145,126.8564552
293,"사회,공공기관",행정기관,경찰서,지구대,오류지구대,서울 구로구 오류동 81-130,02-840-8305,37.49477845,126.838836
294,"사회,공공기관",행정기관,경찰서,파출소,천왕파출소,서울 구로구 천왕동 13-1,02-840-8308,37.48385246,126.8425634
295,"사회,공공기관",행정기관,경찰서,지구대,고척지구대,서울 구로구 고척동 339-3,02-2612-0112,37.50659217,126.858318
298,"사회,공공기관",행정기관,경찰서,파출소,가산파출소,서울 금천구 가산동 139-2,02-864-0113,37.47995791,126.8880622
300,"사회,공공기관",행정기관,경찰서,지구대,신구로지구대,서울 구로구 구로동 569-3,02-853-0189,37.50222676,126.8838762
301,"사회,공공기관",행정기관,경찰서,지구대,구일지구대,서울 구로구 구로동 766-238,02-862-4008,37.48930566,126.8907258
303,"사회,공공기관",행정기관,경찰서,파출소,구로3파출소,서울 구로구 구로동 256-1,02-866-0112,37.48667891,126.8913673
305,"사회,공공기관",행정기관,경찰서,파출소,가리봉파출소,서울 구로구 가리봉동 136-80,02-854-0112,37.47920173,126.892667
307,"사회,공공기관",행정기관,경찰서,파출소,신정3파출소,서울 양천구 신정동 1264,02-2696-2305,37.51490262,126.8550084
318,"사회,공공기관",행정기관,경찰서,지구대,대림지구대,서울 영등포구 대림동 706-8,02-2118-9108,37.49342858,126.8987213
319,"사회,공공기관",행정기관,경찰서,파출소,대림3파출소,서울 영등포구 대림동 740-4,02-2118-9109,37.49840516,126.8980406
341,"사회,공공기관",행정기관,경찰서,파출소,송파위례파출소,서울 송파구 장지동 889,,37.47788193,127.1458539
348,"사회,공공기관",행정기관,경찰서,파출소,마천파출소,서울 송파구 마천동 127-8,02-3402-6306,37.4970407,127.1482275
378,"사회,공공기관",행정기관,경찰서,지구대,문정지구대,서울 송파구 장지동 841,02-3402-6305,37.47820194,127.1269944
379,"사회,공공기관",행정기관,경찰서,파출소,대왕파출소,서울 강남구 세곡동 120-9,02-2155-9305,37.46518202,127.1073265
380,"사회,공공기관",행정기관,경찰서,파출소,거여파출소,서울 송파구 문정동 92,02-3402-6307,37.48515836,127.1297198
384,"사회,공공기관",행정기관,경찰서,파출소,독산파출소,서울 금천구 독산동 1006-96,02-807-0113,37.46465049,126.8947541
387,"사회,공공기관",행정기관,경찰서,파출소,금천파출소,서울 금천구 시흥동 995-2,02-802-0113,37.45424282,126.8998411
393,"사회,공공기관",행정기관,경찰서,지구대,백산지구대,서울 금천구 시흥동 244-38,02-801-5602,37.45108499,126.9126116
394,"사회,공공기관",행정기관,경찰서,지구대,문성지구대,서울 금천구 독산동 191-2,02-855-0112,37.46953058,126.9034426
407,"사회,공공기관",행정기관,경찰서,지구대,망우지구대,서울 중랑구 망우동 489-7,02-2171-0300,37.59912763,127.0956557
423,"사회,공공기관",행정기관,경찰서,파출소,중곡4파출소,서울 광진구 중곡동 18-144,02-2285-7860,37.56532523,127.0873044
425,"사회,공공기관",행정기관,경찰서,지구대,암사지구대,서울 강동구 암사동 414-19,02-3449-7824,37.55496079,127.1407663
427,"사회,공공기관",행정기관,경찰서,지구대,암사지구대,서울 강동구 암사동 493-13,,37.55147883,127.13264
428,"사회,공공기관",행정기관,경찰서,지구대,천호지구대,서울 강동구 천호동 337-121,02-3449-7804,37.54258338,127.1207895
429,"사회,공공기관",행정기관,경찰서,파출소,강일파출소,서울 강동구 강일동 678-3,02-3449-7864,37.56486104,127.1732109
435,"사회,공공기관",행정기관,경찰서,파출소,면목본동파출소,서울 중랑구 면목동 71-24,02-2171-0306,37.58819462,127.0938799
436,"사회,공공기관",행정기관,경찰서,지구대,광나루지구대,서울 광진구 광장동 231-1,02-2285-7820,37.544456,127.1033347
438,"사회,공공기관",행정기관,경찰서,파출소,고덕파출소,서울 강동구 고덕동 494,02-3449-7874,37.55737447,127.1517512
444,"사회,공공기관",행정기관,경찰서,파출소,중곡1파출소,서울 광진구 중곡동 165-6,02-2285-7830,37.56373554,127.0827615
510,"사회,공공기관",행정기관,경찰서,지구대,공항지구대,서울 강서구 방화동 620-111,02-2662-0372,37.56236914,126.8082939
524,"사회,공공기관",행정기관,경찰서,지구대,발산지구대,서울 강서구 내발산동 748-5,02-2662-0330,37.54940782,126.8260169
528,"사회,공공기관",행정기관,경찰서,지구대,마곡지구대,서울 강서구 마곡동 737-19,02-2620-9541,37.56724494,126.8242594
529,"사회,공공기관",행정기관,경찰서,파출소,화곡3파출소,서울 강서구 화곡동 1019,02-2604-2133,37.54472867,126.8352568
534,"사회,공공기관",행정기관,경찰서,지구대,화곡지구대,서울 강서구 화곡동 980-30,02-2604-0087,37.55174773,126.8503583
535,"사회,공공기관",행정기관,경찰서,파출소,신월5파출소,서울 양천구 신월5동 59-5,02-2693-0113,37.5390892,126.8307071
543,"사회,공공기관",행정기관,경찰서,파출소,신월1파출소,서울 양천구 신월동 132-3,02-2602-0092,37.5320699,126.8322469
548,"사회,공공기관",행정기관,경찰서,파출소,난우파출소,서울 관악구 신림동 1735-6,02-870-0860,37.46110897,126.9192416
610,"사회,공공기관",행정기관,경찰서,지구대,신월2지구대,서울 양천구 신월동 987,02-2608-0112,37.52053022,126.8344051
612,"사회,공공기관",행정기관,경찰서,지구대,까치산지구대,서울 강서구 화곡동 901-14,02-2604-5053,37.5293427,126.8455496
718,"사회,공공기관",행정기관,경찰서,파출소,도봉2파출소,서울 도봉구 도봉동 69-2,02-2289-9863,37.68400359,127.0493017
739,"사회,공공기관",행정기관,경찰서,파출소,도봉1파출소,서울 도봉구 도봉동 594-24,02-2289-9853,37.67945867,127.0434209
784,"사회,공공기관",행정기관,경찰서,파출소,내곡파출소,서울 서초구 내곡동 185-4,02-573-5826,37.4549486,127.0649242
787,"사회,공공기관",행정기관,경찰서,지구대,개포지구대,서울 강남구 개포동 1268,02-571-0112,37.4797764,127.0511841
788,"사회,공공기관",행정기관,경찰서,파출소,양재파출소,서울 서초구 양재동 1-3,02-572-0692,37.48454055,127.0378433
789,"사회,공공기관",행정기관,경찰서,파출소,남현파출소,서울 관악구 남현동 1086-1,02-870-0890,37.4746965,126.9778193
790,"사회,공공기관",행정기관,경찰서,지구대,남태령지구대,서울 서초구 방배동 442-4,02-582-8410,37.47953385,126.9821367
791,"사회,공공기관",행정기관,경찰서,파출소,서초파출소,서울 서초구 서초동 1603-16,02-583-6249,37.48530047,127.0167656
792,"사회,공공기관",행정기관,경찰서,지구대,사당지구대,서울 동작구 사당동 1028-1,02-811-9853,37.48054256,126.9795451
794,"사회,공공기관",행정기관,경찰서,파출소,서초2파출소,서울 서초구 서초동 1356-6,02-581-1120,37.48748395,127.0289597
795,"사회,공공기관",행정기관,경찰서,파출소,방배1파출소,서울 서초구 방배동 924-2,02-583-7694,37.48394465,126.9953191
803,"사회,공공기관",행정기관,경찰서,지구대,낙성대지구대,서울 관악구 봉천동 1620-9,02-870-0820,37.47839323,126.957633
804,"사회,공공기관",행정기관,경찰서,지구대,관악산지구대,서울 관악구 신림동 808-402,02-870-0840,37.47383026,126.9352087
839,"사회,공공기관",행정기관,경찰서,파출소,둔촌파출소,서울 강동구 둔촌동 115,02-3449-7854,37.52536413,127.1457449
840,"사회,공공기관",행정기관,경찰서,지구대,길동지구대,서울 강동구 둔촌동 495,02-3449-7814,37.52945177,127.1391911
843,"사회,공공기관",행정기관,경찰서,파출소,오금파출소,서울 송파구 오금동 41-19,02-3402-6309,37.50689601,127.1280971
844,"사회,공공기관",행정기관,경찰서,지구대,방이지구대,서울 송파구 방이동 204-8,02-3402-6301,37.51024305,127.1257592
845,"사회,공공기관",행정기관,경찰서,지구대,가락지구대,서울 송파구 가락동 37,02-3402-6304,37.49820608,127.1253319
847,"사회,공공기관",행정기관,경찰서,지구대,성내지구대,서울 강동구 성내동 541-1,02-3449-7834,37.52842759,127.1269663
849,"사회,공공기관",행정기관,경찰서,파출소,상일파출소,서울 강동구 상일동 121,02-3449-7894,37.55621674,127.1657791
851,"사회,공공기관",행정기관,경찰서,파출소,명일파출소,서울 강동구 명일동 47-30,02-3449-7844,37.55361705,127.1560984
2041,"사회,공공기관",행정기관,경찰서,파출소,논현1파출소,서울 강남구 논현동 58-13,02-544-5555,37.51389596,127.0292956
2042,"사회,공공기관",행정기관,경찰서,파출소,논현2파출소,서울 강남구 논현동 89-13,02-511-5069,37.51521381,127.0338523
2043,"사회,공공기관",행정기관,경찰서,파출소,신사파출소,서울 강남구 신사동 539-13,02-511-5087,37.51842377,127.0241393
2044,"사회,공공기관",행정기관,경찰서,지구대,역삼지구대,서울 강남구 역삼동 687-10,02-562-1623,37.5083531,127.0410199
2045,"사회,공공기관",행정기관,경찰서,파출소,삼성2파출소,서울 강남구 삼성동 35,02-562-1628,37.51233923,127.0433046
2048,"사회,공공기관",행정기관,경찰서,파출소,압구정파출소,서울 강남구 압구정동 483,02-542-1103,37.52931126,127.0356824
2049,"사회,공공기관",행정기관,경찰서,지구대,도곡지구대,서울 강남구 역삼동 711,02-568-2522,37.50134591,127.0437077
2051,"사회,공공기관",행정기관,경찰서,지구대,반포지구대,서울 서초구 반포동 19-13,02-536-8477,37.50597964,127.0054491
2053,"사회,공공기관",행정기관,경찰서,파출소,청담파출소,서울 강남구 청담동 66-3,02-512-0112,37.52081403,127.0542845
2056,"사회,공공기관",행정기관,경찰서,지구대,대치지구대,서울 강남구 대치동 598,02-555-0112,37.49486097,127.0626202
2058,"사회,공공기관",행정기관,경찰서,파출소,서초3파출소,서울 서초구 서초동 1555-4,02-582-2120,37.49197583,127.0107921
2059,"사회,공공기관",행정기관,경찰서,파출소,삼성1파출소,서울 강남구 삼성동 107-3 1층,02-511-5049,37.51484994,127.0605692
2061,"사회,공공기관",행정기관,경찰서,파출소,한남파출소,서울 용산구 한남동 622-3,02-2198-0134,37.53110137,127.0063673
2063,"사회,공공기관",행정기관,경찰서,지구대,잠실지구대,서울 송파구 잠실동 19,02-3402-6302,37.51209065,127.0821389
2064,"사회,공공기관",행정기관,경찰서,파출소,잠실여름파출소,서울 송파구 잠실동 1-1,02-3149-6233,37.51730953,127.081751
