"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","한실수","양실수","욕실수","발한실여부","좌석수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","세탁기수","여성종사자수","남성종사자수","회수건조수","침대수","다중이용업소여부"
"3160000","3160000-202-2002-00002","20021009","","03","폐업","02","폐업","20220405","","","","02 8545522","1620.00","152872","서울특별시 구로구 구로동 731-1","서울특별시 구로구 구로동로26길 8 (구로동)","08311","구로대중탕","20220405155626","U","2021-12-04 00:07:00.0","한증막업","189736.718757403","443130.140159951","","","","","","","","","","","","","","","","","","","","","",""
"3190000","3190000-202-1999-00216","19990123","","03","폐업","02","폐업","20220422","","","","02 8142210","966.22","156813","서울특별시 동작구 노량진동 330 삼익주상복합(아)","서울특별시 동작구 만양로 84 (노량진동삼익주상복합(아))","06914","삼익사우나","20220422095331","U","2021-12-03 22:04:00.0","공동탕업+찜질시설서비스영업","195079.265528912","445413.288375132","","","","","","","","","","","","","","","","","","","","","",""
"3230000","3230000-202-2003-00017","20030227","","03","폐업","02","폐업","20221007","","","","02 4166580","1786.62","138828","서울특별시 송파구 방이동 57-1","서울특별시 송파구 올림픽로34길 21 (방이동)","05547","올림픽한증막","20221007084854","U","2021-10-31 00:09:00.0","공동탕업","209765.468296288","445861.142654966","","","","","","","","","","","","","","","","","","","","","",""
"3150000","3150000-202-2001-00005","20011221","","01","영업/정상","01","영업","","","","","0236630587","1192.11","157030","서울특별시 강서구 등촌동 641-11 1314","서울특별시 강서구 공항대로45길 44 (등촌동1314)","07569","백두산불가마사우나","20221115133903","U","2021-10-31 23:07:00.0","공동탕업+찜질시설서비스영업","187197.468812217","450519.999405521","","","","","","","","","","","","","","","","","","","","","",""
"3050000","3050000-202-1990-00543","19900918","","03","폐업","02","폐업","20220407","","","","02 9694160","589.23","130825","서울특별시 동대문구 이문동 77-13","서울특별시 동대문구 휘경로 39 (이문동)","02427","낙원탕","20220407133357","U","2021-12-04 00:09:00.0","공동탕업","205607.854744942","454728.457426874","","","","","","","","","","","","","","","","","","","","","",""
"3180000","3180000-202-1982-00496","19821221","","03","폐업","02","폐업","20220422","","","","02 7840832","1155.00","150870","서울특별시 영등포구 여의도동 13-3 맨하탄호텔 지하","서울특별시 영등포구 국회대로76길 16 (여의도동맨하탄호텔 지하)","07238","맨하탄호텔사우나","20220422161335","U","2021-12-03 22:04:00.0","공동탕업","193019.645823279","447560.162310375","","","","","","","","","","","","","","","","","","","","","",""
"3120000","3120000-202-2010-00001","20101011","","01","영업/정상","01","영업","","","","","02 3122521","296.69","120030","서울특별시 서대문구 합동 116 (SK 리쳄블 B101-1234","서울특별시 서대문구 서소문로 45 (합동(SK 리쳄블 B101-1234)","03741","미소사우나","20221014111346","U","2021-10-30 23:06:00.0","공동탕업","196945.454641052","451003.162676008","","","","","","","","","","","","","","","","","","","","","",""
"3220000","3220000-202-1987-00204","19871207","","01","영업/정상","01","영업","","","","","02 5413111","296.18","135952","서울특별시 강남구 청담동 53-7","서울특별시 강남구 영동대로 737 (청담동)","06071","호텔리베라사우나(남)","20221014095528","U","2021-10-30 23:06:00.0","공동탕업","204714.758457103","446852.078363788","","","","","","","","","","","","","","","","","","","","","",""
"3100000","3100000-202-2003-00001","20030515","","01","영업/정상","01","영업","","","","","02 9375808","1249.36","139859","서울특별시 노원구 중계동 434-1","서울특별시 노원구 덕릉로 669 (중계동)","01699","삿갓봉목욕탕","20221017142503","U","2021-10-30 23:09:00.0","공동탕업+찜질시설서비스영업","206511.67393263","461668.784446921","","","","","","","","","","","","","","","","","","","","","",""
"3100000","3100000-202-1994-00097","19940818","","01","영업/정상","01","영업","","","","","0209751942","495.00","139840","서울특별시 노원구 월계동 17","서울특별시 노원구 마들로 59 (월계동)","01911","노원탕","20221017142537","U","2021-10-30 23:09:00.0","공동탕업","205903.318572394","457661.669716763","","","","","","","","","","","","","","","","","","","","","",""
